ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
ldi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ldo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lfi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lfo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lga	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lge	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lla	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	802	325	0	75	0	0	NA	NA	NA	NA	NA	NA	NA
lle	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	511	135	0	61	0	0	NA	NA	NA	NA	NA	NA	NA
lli	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	108	580	0	73	0	0	7	0	NA	NA	NA	NA	NA
llo	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	828	875	0	146	0	0	6	0	NA	NA	NA	NA	NA
lma	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lme	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lmi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lmo	100	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA
lpa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lsa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lse	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	31	22	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
lsi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lso	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSO	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lta	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	690	134	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
lte	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	364	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lti	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	257	47	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lto	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	1028	105	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
lva	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lve	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lvi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lvo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lza	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lze	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lzi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lzo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mba	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	156	2	0	9	0	0	NA	NA	NA	NA	NA	NA	NA
mbe	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mma	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	525	96	0	7	0	0	NA	NA	NA	NA	NA	NA	NA
mme	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mmi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	71	10	0	18	0	0	NA	NA	NA	NA	NA	NA	NA
mmo	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	12	137	0	51	0	0	6	0	1	0	NA	NA	NA
mpa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpe	100	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	2	0	0	NA	NA	NA	NA	NA	NA	NA
mpi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	162	35	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
mpo	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	659	29	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
nca	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	180	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nce	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nci	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nco	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	270	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nda	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	141	331	0	5	0	0	NA	NA	NA	NA	NA	NA	NA
nde	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	856	283	0	17	0	0	NA	NA	NA	NA	NA	NA	NA
ndi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	543	124	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
ndo	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	2641	1445	0	586	0	0	93	0	1	0	NA	NA	NA
nfa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nga	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	137	23	0	5	0	0	NA	NA	NA	NA	NA	NA	NA
nge	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	64	38	0	1	0	0	NA	NA	NA	NA	NA	NA	NA
ngi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ngo	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	382	27	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
nna	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	388	64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nne	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	234	85	0	12	0	0	3	0	NA	NA	NA	NA	NA
nni	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	567	44	0	1	0	0	2	0	NA	NA	NA	NA	NA
nno	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	1436	276	0	156	0	0	73	0	8	0	NA	NA	NA
nsa	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	77	21	0	11	0	0	NA	NA	NA	NA	NA	NA	NA
nse	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	60	63	0	5	0	0	7	0	NA	NA	NA	NA	NA
nsi	100	100	0	NA	NA	NA	100	0	NA	NA	NA	NA	NA	51	7	0	NA	NA	NA	4	0	NA	NA	NA	NA	NA
nso	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134	37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nta	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	393	318	0	33	0	0	2	0	NA	NA	NA	NA	NA
nte	100	100	0	100	0	0	100	0	100	0	100	0	100	1204	1054	0	1239	0	0	707	0	262	0	11	0	16
nti	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	704	1020	0	661	0	0	113	0	46	0	NA	NA	NA
nto	100	100	0	100	0	0	100	0	100	0	NA	NA	NA	1536	1362	0	373	0	0	252	0	19	0	NA	NA	NA
nza	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	611	349	0	362	0	0	56	0	NA	NA	NA	NA	NA
nze	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	49	146	0	75	0	0	12	0	NA	NA	NA	NA	NA
nzi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89	34	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nzo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pla	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pli	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppa	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppe	100	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	60	NA	NA	9	0	0	NA	NA	NA	NA	NA	NA	NA
ppi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	345	94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pra	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pre	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	726	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pri	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pro	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rba	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	161	5	0	10	0	0	NA	NA	NA	NA	NA	NA	NA
rbe	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rbi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
