ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
rso	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	524	184	0	111	0	0	NA	NA	NA	NA	NA	NA	NA
rta	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	551	197	0	8	0	0	NA	NA	NA	NA	NA	NA	NA
rte	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	829	96	0	22	0	0	NA	NA	NA	NA	NA	NA	NA
rti	100	83.1932773109244	16.8067226890756	83.6363636363636	16.3636363636364	0	97.7272727272727	2.27272727272727	NA	NA	NA	NA	NA	337	198	40	92	18	0	43	1	NA	NA	NA	NA	NA
rto	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	559	299	0	24	0	0	22	0	NA	NA	NA	NA	NA
rva	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	114	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rve	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	98	41	0	3	0	0	NA	NA	NA	NA	NA	NA	NA
rvi	100	78.0487804878049	21.9512195121951	71.4285714285714	28.5714285714286	0	91.6666666666667	8.33333333333333	NA	NA	NA	NA	NA	82	64	18	50	20	0	11	1	NA	NA	NA	NA	NA
rvo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rza	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	242	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
