ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
aro	100	45.75163399	54.24836601	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	204	70	83	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
asa	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	699	1	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ase	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	291	60	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
asi	100	41.93548387	58.06451613	0	100	0	0	100	0	0	100	0	NA	NA	439	13	18	0	63	0	0	1	0	0	1	0	NA	NA
aso	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	247	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ata	100	100	0	100	0	0	100	0	0	100	0	0	NA	NA	261	762	0	674	0	0	168	0	0	3	0	0	NA	NA
ate	100	100	0	100	0	0	100	0	0	100	0	0	NA	NA	212	813	0	513	0	0	93	0	0	5	0	0	NA	NA
ati	100	99.81785064	0.182149362	99.48186528	0.518134715	0	100	0	0	100	0	0	NA	NA	268	548	1	576	3	0	139	0	0	3	0	0	NA	NA
ato	100	97.07828004	2.921719956	100	0	0	100	0	0	100	0	0	NA	NA	814	1761	53	1610	0	0	442	0	0	15	0	0	NA	NA
ava	100	100	0	100	0	0	100	0	0	100	0	0	NA	NA	200	839	0	466	0	0	121	0	0	1	0	0	NA	NA
ave	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	135	4	0	36	0	0	NA	NA	NA	NA	NA	NA	NA	NA
avi	100	91.66666667	8.333333333	100	0	0	100	0	0	NA	NA	NA	NA	NA	148	11	1	17	0	0	2	0	0	NA	NA	NA	NA	NA
avo	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	159	84	0	39	0	0	17	0	0	NA	NA	NA	NA	NA
axi	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA
azi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eca	100	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ece	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	228	279	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eci	100	20	80	0	100	0	0	100	0	NA	NA	NA	NA	NA	173	1	4	0	12	0	0	4	0	NA	NA	NA	NA	NA
eco	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eda	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ede	100	100	0	84.61538462	15.38461538	0	NA	NA	NA	NA	NA	NA	NA	NA	289	152	0	22	4	0	NA	NA	NA	NA	NA	NA	NA	NA
edi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	381	8	0	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA
edo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ega	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ege	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
egi	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ego	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ehi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ela	100	53.06122449	46.93877551	0	81.25	18.75	0	53.84615385	46.15384615	0	100	0	NA	NA	85	26	23	0	39	9	0	7	6	0	2	0	NA	NA
ele	100	93.33333333	6.666666667	50	25	25	0	66.66666667	33.33333333	NA	NA	NA	NA	NA	82	28	2	4	2	2	0	2	1	NA	NA	NA	NA	NA
eli	100	48.27586207	51.72413793	19.04761905	76.19047619	4.761904762	0	91.66666667	8.333333333	0	80	20	NA	NA	33	14	15	4	16	1	0	11	1	0	4	1	NA	NA
elo	100	0	100	16	68	16	0	66.66666667	33.33333333	0	75	25	NA	NA	349	0	47	8	34	8	0	22	11	0	3	1	NA	NA
ema	100	87.70949721	12.29050279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	157	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eme	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	232	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
emi	100	71.64179104	28.35820896	0	100	0	0	100	0	0	100	0	NA	NA	76	96	38	0	65	0	0	25	0	0	1	0	NA	NA
emo	100	100	0	100	0	0	100	0	0	100	0	0	NA	NA	43	264	0	183	0	0	93	0	0	7	0	0	NA	NA
ena	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	245	314	0	23	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ene	100	83.25123153	16.74876847	35.8974359	58.97435897	5.128205128	17.77777778	28.88888889	53.33333333	0	85.71428571	14.28571429	NA	NA	924	169	34	28	46	4	8	13	24	0	6	1	NA	NA
eni	100	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	161	20	0	0	17	0	NA	NA	NA	NA	NA	NA	NA	NA
eno	100	100	0	0	100	0	100	0	0	NA	NA	NA	NA	NA	416	342	0	0	54	0	17	0	0	NA	NA	NA	NA	NA
epe	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
era	100	40.50880626	59.49119374	81.93832599	18.06167401	0	0	100	0	NA	NA	NA	NA	NA	2354	207	304	186	41	0	0	12	0	NA	NA	NA	NA	NA
ere	100	35.27096579	64.72903421	18.62433862	81.37566138	0	11.11111111	88.88888889	0	NA	NA	NA	NA	NA	111	1165	2138	176	769	0	7	56	0	NA	NA	NA	NA	NA
eri	100	29.92277992	70.07722008	63.63636364	36.36363636	0	50	50	0	0	100	0	NA	NA	135	155	363	105	60	0	6	6	0	0	22	0	NA	NA
ero	100	25.95663265	74.04336735	6.593406593	93.40659341	0	0	100	0	0	100	0	NA	NA	318	407	1161	30	425	0	0	69	0	0	11	0	NA	NA
esa	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	141	241	0	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ese	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	355	363	0	27	0	0	2	0	0	NA	NA	NA	NA	NA
esi	100	94.80519481	5.194805195	39.65517241	60.34482759	0	0	100	0	0	100	0	NA	NA	135	146	8	23	35	0	0	3	0	0	2	0	NA	NA
eso	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	281	95	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
eta	100	100	0	66.66666667	33.33333333	0	NA	NA	NA	NA	NA	NA	NA	NA	48	218	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ete	100	100	0	100	0	0	100	0	0	100	0	0	NA	NA	270	824	0	124	0	0	39	0	0	4	0	0	NA	NA
eti	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	106	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eto	100	100	0	93.33333333	6.666666667	0	NA	NA	NA	NA	NA	NA	NA	NA	19	142	0	14	1	0	NA	NA	NA	NA	NA	NA	NA	NA
eva	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	16	1661	0	240	0	0	7	0	0	NA	NA	NA	NA	NA
eve	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	389	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evi	100	100	0	4.651162791	95.34883721	0	0	100	0	0	100	0	NA	NA	131	88	0	2	41	0	0	48	0	0	14	0	NA	NA
evo	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	197	369	0	22	0	0	NA	NA	NA	NA	NA	NA	NA	NA
iba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ica	100	28.81944444	71.18055556	7.843137255	92.15686275	0	0	100	0	0	100	0	100	NA	15	166	410	36	423	0	0	90	0	0	16	0	7	NA
ice	100	45.80152672	54.19847328	100	0	0	100	0	0	NA	NA	NA	NA	NA	342	120	142	21	0	0	6	0	0	NA	NA	NA	NA	NA
ici	100	57.29013255	42.70986745	17.17791411	82.82208589	0	4.545454545	95.45454545	0	0	100	0	100	NA	64	389	290	28	135	0	1	21	0	0	4	0	8	NA
ico	100	46.02076125	53.97923875	0	100	0	0	100	0	0	100	0	100	NA	57	266	312	0	299	0	0	71	0	0	25	0	6	NA
ida	100	2.189781022	97.81021898	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	89	3	134	NA	NA	NA	10	0	0	NA	NA	NA	NA	NA
ide	100	42.39130435	57.60869565	53.125	46.875	0	NA	NA	NA	NA	NA	NA	NA	NA	133	39	53	17	15	0	NA	NA	NA	NA	NA	NA	NA	NA
idi	100	13.43283582	86.56716418	50	50	0	100	0	0	NA	NA	NA	NA	NA	38	9	58	2	2	0	2	0	0	NA	NA	NA	NA	NA
ido	100	2.010050251	97.98994975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	4	195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ifo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iga	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ige	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
igi	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
igo	100	65	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	13	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ila	100	31.25	68.75	83.87096774	16.12903226	0	72.72727273	27.27272727	0	NA	NA	NA	NA	NA	99	20	44	26	5	0	8	3	0	NA	NA	NA	NA	NA
ile	100	39.70315399	60.29684601	5.540897098	94.4591029	0	1.612903226	98.38709677	0	0	100	0	100	NA	24	214	325	21	358	0	3	183	0	0	53	0	6	NA
ili	100	25.28301887	74.71698113	10.95890411	89.04109589	0	2.173913043	97.82608696	0	0	100	0	NA	NA	29	67	198	8	65	0	1	45	0	0	19	0	NA	NA
ilo	100	44.44444444	55.55555556	0	100	0	0	100	0	NA	NA	NA	NA	NA	51	16	20	0	11	0	0	2	0	NA	NA	NA	NA	NA
ima	100	32.43243243	67.56756757	0	100	0	0	100	0	0	100	0	100	NA	631	96	200	0	95	0	0	32	0	0	18	0	4	NA
ime	100	18.18181818	81.81818182	0	100	0	0	100	0	0	100	0	100	NA	72	16	72	0	41	0	0	28	0	0	4	0	1	NA
imi	100	2.43902439	97.56097561	0	100	0	0	100	0	0	100	0	100	NA	83	2	80	0	78	0	0	38	0	0	18	0	2	NA
imo	100	1.388888889	98.61111111	0	100	0	0	100	0	0	100	0	100	NA	222	4	284	0	219	0	0	85	0	0	37	0	4	NA
ina	100	79.39001848	20.60998152	90.73569482	9.264305177	0	57.14285714	42.85714286	0	NA	NA	NA	NA	NA	16	859	223	333	34	0	8	6	0	NA	NA	NA	NA	NA
ine	100	51.61870504	48.38129496	56.27530364	43.72469636	0	31.03448276	68.96551724	0	NA	NA	NA	NA	NA	221	287	269	139	108	0	9	20	0	NA	NA	NA	NA	NA
ini	100	66.59751037	33.40248963	84.28093645	15.71906355	0	62.96296296	37.03703704	0	NA	NA	NA	NA	NA	30	642	322	252	47	0	17	10	0	NA	NA	NA	NA	NA
ino	100	94.94584838	5.054151625	93.91056137	5.708848716	0.380589914	71.875	9.375	18.75	100	0	0	NA	NA	376	1315	70	987	60	4	23	3	6	1	0	0	NA	NA
ipa	100	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	19	3	0	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA
ipe	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0	142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ipi	100	8.333333333	91.66666667	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	34	1	11	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
ipo	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	117	0	3	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA
ira	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	86	31	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ire	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	373	948	0	314	0	0	44	0	0	NA	NA	NA	NA	NA
iri	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iro	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	180	28	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA
isa	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	37	39	0	9	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ise	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	114	104	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA
