ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
omo	100	0	100	61.53846154	38.46153846	0	NA	NA	NA	NA	NA	NA	NA	NA	463	0	5	16	10	0	NA	NA	NA	NA	NA	NA	NA	NA
ona	100	100	0	77.77777778	22.22222222	0	100	0	0	NA	NA	NA	NA	NA	245	215	0	14	4	0	2	0	0	NA	NA	NA	NA	NA
one	100	98.1870921	1.812907904	98.93179951	1.068200493	0	98.33333333	1.666666667	0	98.46153846	1.538461538	0	NA	NA	96	1354	25	1204	13	0	531	9	0	128	2	0	NA	NA
oni	100	99.82300885	0.17699115	98.31932773	1.680672269	0	100	0	0	100	0	0	NA	NA	122	564	1	468	8	0	211	0	0	23	0	0	NA	NA
ono	100	1.725554643	98.27444536	0	100	0	0	99.10447761	0.895522388	0	100	0	100	NA	2917	21	1196	0	943	0	0	332	3	0	72	0	2	NA
opa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ope	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
opi	100	NA	NA	75	25	0	NA	NA	NA	NA	NA	NA	NA	NA	53	NA	NA	6	2	0	NA	NA	NA	NA	NA	NA	NA	NA
opo	100	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	899	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA
ora	100	96.22496148	3.775038521	18.18181818	81.81818182	0	NA	NA	NA	NA	NA	NA	NA	NA	909	1249	49	2	9	0	NA	NA	NA	NA	NA	NA	NA	NA
ore	100	98.05352798	1.946472019	100	0	0	100	0	0	100	0	0	NA	100	436	1209	24	390	0	0	152	0	0	3	0	0	NA	3
ori	100	100	0	97.95918367	2.040816327	0	100	0	0	100	0	0	NA	NA	500	500	0	336	7	0	73	0	0	1	0	0	NA	NA
oro	100	100	0	18.75	81.25	0	100	0	0	NA	NA	NA	NA	NA	1114	346	0	6	26	0	10	0	0	NA	NA	NA	NA	NA
osa	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	1305	379	0	114	0	0	35	0	0	NA	NA	NA	NA	NA
ose	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	293	249	0	52	0	0	14	0	0	NA	NA	NA	NA	NA
osi	100	95.65217391	4.347826087	48.6631016	51.3368984	0	20	80	0	0	100	0	NA	NA	41	88	4	91	96	0	18	72	0	0	24	0	NA	NA
oso	100	100	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	17	189	0	215	0	0	63	0	0	NA	NA	NA	NA	NA
ota	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	100	35	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ote	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	60	51	0	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA
oti	100	79.62962963	20.37037037	66.66666667	33.33333333	0	0	100	0	NA	NA	NA	NA	NA	53	43	11	8	4	0	0	9	0	NA	NA	NA	NA	NA
oto	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	183	4	0	5	0	0	NA	NA	NA	NA	NA	NA	NA	NA
ova	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	412	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ove	100	100	0	NA	NA	NA	100	0	0	NA	NA	NA	NA	NA	898	12	0	NA	NA	NA	26	0	0	NA	NA	NA	NA	NA
ovi	100	46.15384615	53.84615385	0	100	0	0	100	0	0	100	0	NA	NA	118	6	7	0	2	0	0	3	0	0	1	0	NA	NA
ovo	100	62.5	37.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	234	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ozi	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uba	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
