ending	B_%PULT_Ty	C_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	P_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	B_nPULT_Ty	C_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
lca	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
lce	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA
lci	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	NA
lco	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
lda	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA
lde	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ldi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	1	NA	NA
ldo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	1	NA	NA
lfi	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lfo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lga	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA
lge	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA
lgi	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
lgo	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA
lla	NA	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	NA	NA	7	NA	NA	NA	1	66	NA	17	NA	NA
lle	NA	NA	100	NA	NA	NA	100	100	NA	100	NA	NA	NA	NA	9	NA	NA	NA	1	55	NA	7	NA	NA
lli	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	9	NA	NA	NA	NA	70	NA	4	NA	NA
llo	NA	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	NA	NA	8	NA	NA	1	NA	72	NA	7	NA	NA
lma	NA	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA	2	NA	1	NA	NA
lme	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA
lmi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	2	NA	NA	NA	NA	3	NA	1	NA	NA
lmo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	3	NA	1	NA	NA
lpa	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
lpe	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
lpi	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
lpo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lsa	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA
lse	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	11	NA	NA
lsi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	3	NA	NA
lso	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA
LSO	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
lta	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	4	NA	11	NA	NA	1	NA	5	NA	16	NA	NA
lte	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	1	NA	10	NA	NA	1	NA	4	NA	7	NA	NA
lti	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	1	NA	8	NA	NA	1	NA	6	NA	15	NA	NA
lto	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	1	NA	8	NA	NA	1	NA	9	NA	17	NA	NA
lva	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA
lve	NA	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	1	NA	NA
lvi	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA
lvo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA
lza	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	6	NA	NA
lze	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
lzi	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
lzo	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA
mba	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	2	NA	NA
mbe	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	5	NA	NA	NA	NA
mbi	NA	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	1	NA	5	NA	1	NA	NA
mbo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
mma	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	8	NA	NA	NA	NA
mme	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
mmi	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	NA	NA
mmo	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	88	NA	NA
mpa	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA
mpe	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA
mpi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	5	NA	NA
mpo	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	2	NA	NA
nca	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	3	NA	6	NA	NA
nce	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	2	NA	NA
nci	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5	NA	NA
nco	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	6	NA	1	NA	NA
nda	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	9	NA	NA	NA	NA	17	NA	19	NA	NA
nde	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	7	NA	NA	NA	NA	16	NA	32	NA	NA
ndi	100	100	100	NA	NA	NA	NA	100	NA	100	NA	NA	1	1	9	NA	NA	NA	NA	7	NA	18	NA	NA
ndo	100	100	100	NA	NA	NA	100	100	NA	100	NA	NA	1	2	11	NA	NA	NA	1	11	NA	534	NA	NA
