ending	B_%PULT_Ty	C_%PULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	P_%PULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	B_nPULT_Ty	C_nPULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	P_nPULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
rva	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	4	NA	NA
rve	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	7	NA	NA
rvi	NA	NA	NA	NA	NA	NA	NA	100	NA	77.7777777777778	22.2222222222222	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	77	22	NA
rvo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	1	NA	NA
rza	NA	NA	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA	2	NA	2	NA	NA
rze	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
rzi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	1	NA	NA
rzo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	1	NA	NA
sca	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	4	NA	NA	NA	NA	7	NA	19	NA	NA
sce	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	66	NA	NA
sci	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	24	NA	NA
sco	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	5	NA	NA	NA	NA	10	NA	19	NA	NA
sfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
sma	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
smi	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA
smo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA
spa	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA
spe	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
spi	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
spo	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
ssa	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	16	NA	NA	NA	NA	21	NA	20	NA	NA
sse	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	10	NA	NA	NA	NA	15	NA	183	NA	NA
ssi	NA	NA	100	NA	NA	NA	NA	100	NA	98.5074626865672	1.49253731343284	NA	NA	NA	13	NA	NA	NA	NA	24	NA	66	1	NA
sso	100	NA	100	NA	100	100	100	100	NA	100	NA	NA	4	NA	14	NA	1	1	1	34	NA	28	NA	NA
sta	100	100	100	NA	100	NA	NA	100	NA	100	NA	NA	2	1	18	NA	1	NA	NA	46	NA	31	NA	NA
ste	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	12	NA	NA	NA	NA	29	NA	45	NA	NA
sti	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	13	NA	NA	NA	NA	33	NA	61	NA	NA
sto	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	3	NA	17	NA	NA	1	NA	24	NA	26	NA	NA
tmi	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
tmo	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
tra	NA	NA	100	NA	NA	100	NA	85.7142857142857	14.2857142857143	92.8571428571429	7.14285714285714	NA	NA	NA	7	NA	NA	2	NA	12	2	13	1	NA
tre	100	100	100	NA	NA	100	100	93.3333333333333	6.66666666666667	100	NA	NA	2	1	9	NA	NA	1	1	14	1	1	NA	NA
tri	NA	NA	100	NA	NA	100	NA	73.0769230769231	26.9230769230769	100	NA	NA	NA	NA	9	NA	NA	2	NA	19	7	4	NA	NA
tro	100	NA	100	NA	NA	100	100	74.1935483870968	25.8064516129032	100	NA	NA	3	NA	9	NA	NA	2	4	23	8	6	NA	NA
tta	100	NA	100	NA	100	100	NA	100	NA	100	NA	NA	2	NA	37	NA	1	1	NA	104	NA	52	NA	NA
tte	100	NA	100	NA	NA	100	NA	100	NA	100	NA	NA	3	NA	30	NA	NA	1	NA	64	NA	42	NA	NA
tti	100	100	100	NA	100	100	NA	100	NA	100	NA	NA	1	2	38	NA	1	1	NA	119	NA	45	NA	NA
tto	100	NA	100	NA	100	100	100	100	NA	100	NA	NA	4	NA	48	NA	2	1	2	154	NA	54	NA	NA
vra	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA
vre	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
vve	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA
vvi	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA
zza	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	34	NA	18	NA	NA
zze	NA	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	27	NA	NA	NA	NA
zzi	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	5	NA	NA	NA	NA	17	NA	4	NA	NA
zzo	NA	NA	100	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	6	NA	NA	NA	NA	21	NA	7	NA	NA
