2lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%ULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S7_%PAPULT_Ty	S8_%ULT_Ty	S8_%PULT_Ty	S8_%APULT_Ty	S9_%PULT_Ty	S10_%PULT_Ty	S10_%APULT_Ty	S11_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S7_nPAPULT_Ty	S8_nULT_Ty	S8_nPULT_Ty	S8_nAPULT_Ty	S9_nPULT_Ty	S10_nPULT_Ty	S10_nAPULT_Ty	S11_nPULT_Ty
bl	11.11111111	88.88888889	NA	93.33333333	6.666666667	NA	70	30	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	16	NA	42	3	NA	14	6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bo	13.04347826	86.95652174	3.543307087	86.22047244	10.23622047	1.136363636	82.95454545	15.90909091	NA	NA	93.33333333	6.666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	80	9	219	26	2	146	28	NA	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
br	6.956521739	93.04347826	4.761904762	81.9047619	13.33333333	2.083333333	85.41666667	12.5	NA	NA	80	20	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	107	10	172	28	2	82	12	NA	NA	8	2	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bu	12.98701299	87.01298701	2.040816327	82.31292517	15.6462585	NA	77.5862069	22.4137931	NA	NA	64.28571429	35.71428571	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	67	3	121	23	NA	45	13	NA	NA	9	5	NA	NA	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
by	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ca	23.90438247	76.09561753	5.226824458	83.43195266	11.34122288	1.917545542	83.50910834	14.09395973	0.479386385	0.867052023	72.25433526	26.58959538	0.289017341	NA	69.8630137	30.1369863	NA	NA	80	20	NA	NA	NA	NA	NA	NA	NA	NA	60	191	53	846	115	20	871	147	5	3	250	92	1	NA	51	22	NA	NA	16	4	NA	NA	NA	NA	NA	NA	NA	NA
ce	11.34020619	88.65979381	4.104477612	77.23880597	18.65671642	2.040816327	72.44897959	24.48979592	1.020408163	2.702702703	66.21621622	29.72972973	1.351351351	NA	72.22222222	27.77777778	NA	NA	88.88888889	11.11111111	NA	NA	NA	100	NA	NA	NA	NA	11	86	11	207	50	4	142	48	2	2	49	22	1	NA	13	5	NA	NA	8	1	NA	NA	NA	1	NA	NA	NA	NA
ch	9.473684211	90.52631579	4.787234043	65.42553191	29.78723404	0.862068966	51.72413793	42.24137931	5.172413793	NA	43.47826087	52.17391304	4.347826087	NA	77.77777778	22.22222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	86	9	123	56	1	60	49	6	NA	10	12	1	NA	7	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ci	12.17391304	87.82608696	5.405405405	74.77477477	19.81981982	1.376146789	79.35779817	17.88990826	1.376146789	2.941176471	73.52941176	23.52941176	NA	3.333333333	76.66666667	20	NA	NA	31.25	68.75	NA	NA	100	NA	NA	NA	NA	NA	14	101	12	166	44	3	173	39	3	3	75	24	NA	1	23	6	NA	NA	5	11	NA	NA	1	NA	NA	NA	NA	NA
cl	NA	100	NA	68.18181818	31.81818182	2	74	24	NA	3.703703704	70.37037037	22.22222222	3.703703704	NA	66.66666667	33.33333333	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	30	14	1	37	12	NA	1	19	6	1	NA	10	5	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
cn	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
co	16.66666667	83.33333333	5.856643357	84.7027972	9.440559441	4.415332363	79.37894226	15.86608443	0.339640951	1.869991095	68.03205699	28.76224399	1.335707925	4.150943396	62.26415094	33.58490566	NA	10	63.33333333	26.66666667	NA	NA	50	50	NA	NA	NA	NA	34	170	67	969	108	91	1636	327	7	21	764	323	15	11	165	89	NA	3	19	8	NA	NA	2	2	NA	NA	NA	NA
cr	7.058823529	92.94117647	5.150214592	71.67381974	23.17596567	2.840909091	68.18181818	27.27272727	1.704545455	6.382978723	63.82978723	29.78723404	NA	NA	75	25	NA	NA	80	20	NA	NA	NA	NA	NA	NA	NA	NA	6	79	12	167	54	5	120	48	3	3	30	14	NA	NA	9	3	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA
cu	15.18987342	84.81012658	3.731343284	78.35820896	17.91044776	2.752293578	71.55963303	23.85321101	1.834862385	NA	53.84615385	46.15384615	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	67	5	105	24	3	78	26	2	NA	7	6	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
cy	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d'	12.5	87.5	2.272727273	90.90909091	6.818181818	11.11111111	77.77777778	11.11111111	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	1	40	3	1	7	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
da	17.97752809	82.02247191	1.960784314	64.05228758	33.9869281	1.754385965	80.70175439	15.78947368	1.754385965	NA	50	50	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	73	3	98	52	1	46	9	1	NA	7	7	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
de	15.15151515	84.84848485	8.626198083	77.95527157	13.41853035	3.459119497	78.77358491	17.45283019	0.314465409	1.120448179	71.14845938	25.49019608	2.240896359	0.925925926	75	23.14814815	0.925925926	NA	95.23809524	4.761904762	NA	NA	100	NA	NA	NA	NA	NA	10	56	27	244	42	22	501	111	2	4	254	91	8	1	81	25	1	NA	20	1	NA	NA	4	NA	NA	NA	NA	NA
di	10.22727273	89.77272727	4.31211499	83.77823409	11.90965092	4.036697248	71.28440367	24.58715596	0.091743119	1.180438449	70.65767285	26.98145025	1.180438449	3.47826087	67.82608696	27.82608696	0.869565217	NA	71.42857143	28.57142857	NA	NA	100	NA	100	NA	NA	NA	9	79	21	408	58	44	777	268	1	7	419	160	7	4	78	32	1	NA	10	4	NA	NA	1	NA	1	NA	NA	NA
dj	50	50	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
do	20.93023256	79.06976744	4.566210046	83.56164384	11.87214612	2.906976744	76.74418605	19.18604651	1.162790698	NA	74.57627119	25.42372881	NA	NA	73.33333333	26.66666667	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	18	68	10	183	26	5	132	33	2	NA	44	15	NA	NA	11	4	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
dr	8.333333333	91.66666667	2.222222222	75.55555556	22.22222222	NA	73.68421053	26.31578947	NA	20	60	20	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	22	1	34	10	NA	14	5	NA	1	3	1	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
du	21.875	78.125	6	74	20	6.060606061	78.78787879	12.12121212	3.03030303	9.090909091	63.63636364	27.27272727	NA	NA	100	NA	NA	NA	100	NA	NA	NA	100	NA	100	NA	NA	NA	7	25	3	37	10	2	26	4	1	1	7	3	NA	NA	3	NA	NA	NA	2	NA	NA	NA	1	NA	1	NA	NA	NA
e'	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eb	50	50	NA	60	40	NA	33.33333333	66.66666667	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	6	4	NA	3	6	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ec	NA	100	8.333333333	61.11111111	30.55555556	NA	73.52941176	25	1.470588235	1.960784314	50.98039216	47.05882353	NA	33.33333333	66.66666667	NA	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	22	11	NA	50	17	1	1	26	24	NA	3	6	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA
ed	NA	100	4.166666667	62.5	33.33333333	2.702702703	83.78378378	13.51351351	NA	NA	90.625	9.375	NA	NA	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	15	8	1	31	5	NA	NA	29	3	NA	NA	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ef	100	NA	8.333333333	83.33333333	8.333333333	2.702702703	75.67567568	21.62162162	NA	12.5	68.75	18.75	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	10	1	1	28	8	NA	2	11	3	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eg	6.666666667	93.33333333	NA	93.75	6.25	NA	89.47368421	10.52631579	NA	NA	42.10526316	57.89473684	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	14	NA	15	1	NA	17	2	NA	NA	8	11	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ei	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ek	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
el	10	90	8.163265306	83.67346939	8.163265306	4.958677686	66.94214876	28.09917355	NA	5.194805195	67.53246753	24.67532468	2.597402597	1.923076923	67.30769231	30.76923077	NA	NA	18.75	81.25	NA	NA	100	NA	100	NA	NA	NA	2	18	4	41	4	6	81	34	NA	4	52	19	2	1	35	16	NA	NA	3	13	NA	NA	2	NA	2	NA	NA	NA
em	NA	100	7.317073171	78.04878049	14.63414634	4.761904762	74.28571429	20.95238095	NA	3.571428571	67.85714286	28.57142857	NA	NA	70	30	NA	NA	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	3	32	6	5	78	22	NA	2	38	16	NA	NA	7	3	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA
en	25	75	6.382978723	85.10638298	8.510638298	3.174603175	53.96825397	42.85714286	NA	NA	50	50	NA	NA	52.38095238	47.61904762	NA	NA	66.66666667	33.33333333	NA	NA	100	NA	NA	NA	NA	NA	5	15	3	40	4	2	34	27	NA	NA	25	25	NA	NA	11	10	NA	NA	4	2	NA	NA	1	NA	NA	NA	NA	NA
eo	NA	NA	NA	50	50	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ep	33.33333333	66.66666667	NA	28.57142857	71.42857143	2.564102564	53.84615385	43.58974359	NA	NA	53.57142857	46.42857143	NA	33.33333333	33.33333333	33.33333333	NA	NA	30	70	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	2	5	1	21	17	NA	NA	15	13	NA	1	1	1	NA	NA	3	7	NA	NA	NA	NA	NA	NA	NA	NA
eq	NA	100	25	75	NA	NA	77.77777778	22.22222222	NA	2.380952381	92.85714286	4.761904762	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	3	NA	NA	14	4	NA	1	39	2	NA	NA	8	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
er	10	90	NA	80.88235294	19.11764706	2.409638554	56.62650602	39.75903614	1.204819277	5.263157895	73.68421053	21.05263158	NA	7.692307692	61.53846154	30.76923077	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	18	NA	55	13	2	47	33	1	2	28	8	NA	1	8	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
es	6.382978723	93.61702128	7.692307692	74.78632479	17.52136752	4.118993135	69.79405034	24.25629291	1.830663616	2.807017544	77.19298246	18.59649123	1.403508772	3.448275862	63.79310345	32.75862069	NA	NA	44.44444444	55.55555556	NA	NA	100	NA	NA	NA	NA	NA	3	44	18	175	41	18	305	106	8	8	220	53	4	2	37	19	NA	NA	4	5	NA	NA	1	NA	NA	NA	NA	NA
et	14.28571429	85.71428571	NA	51.85185185	48.14814815	12.5	31.25	56.25	NA	NA	59.09090909	40.90909091	NA	7.692307692	53.84615385	38.46153846	NA	33.33333333	33.33333333	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	1	6	NA	14	13	2	5	9	NA	NA	13	9	NA	1	7	5	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA
eu	NA	100	5.555555556	83.33333333	11.11111111	3.225806452	77.41935484	19.35483871	NA	NA	68.75	31.25	NA	NA	100	NA	NA	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	2	1	15	2	1	24	6	NA	NA	11	5	NA	NA	8	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA
