2lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%ULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S7_%PAPULT_Ty	S8_%ULT_Ty	S8_%PULT_Ty	S8_%APULT_Ty	S9_%PULT_Ty	S10_%PULT_Ty	S10_%APULT_Ty	S11_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S7_nPAPULT_Ty	S8_nULT_Ty	S8_nPULT_Ty	S8_nAPULT_Ty	S9_nPULT_Ty	S10_nPULT_Ty	S10_nAPULT_Ty	S11_nPULT_Ty
a'	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ab	72.72727273	27.27272727	13.33333333	75.55555556	11.11111111	4	87.55555556	8	0.444444444	0.735294118	70.58823529	26.47058824	2.205882353	3.125	46.875	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	3	12	68	10	9	197	18	1	1	96	36	3	1	15	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ac	11.11111111	88.88888889	12.42236025	80.74534161	6.832298137	6.194690265	73.89380531	19.91150442	NA	1.714285714	72.85714286	22.85714286	2.571428571	2.272727273	56.81818182	40.90909091	NA	NA	75	25	NA	NA	NA	100	NA	NA	NA	NA	2	16	20	130	11	28	334	90	NA	6	255	80	9	2	50	36	NA	NA	3	1	NA	NA	NA	1	NA	NA	NA	NA
ad	27.27272727	72.72727273	5.882352941	87.05882353	7.058823529	3.686635945	83.41013825	12.90322581	NA	2.290076336	67.9389313	28.24427481	1.526717557	11.11111111	44.44444444	44.44444444	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	3	8	5	74	6	8	181	28	NA	3	89	37	2	2	8	8	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA
ae	NA	NA	NA	NA	NA	12.5	37.5	50	NA	NA	75	25	NA	NA	50	50	NA	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	4	NA	NA	9	3	NA	NA	6	6	NA	NA	2	4	NA	NA	NA	NA	NA	NA	NA	NA
af	20	80	17.5	76.25	6.25	5.434782609	82.60869565	11.95652174	NA	2.083333333	53.47222222	44.44444444	NA	5.263157895	47.36842105	47.36842105	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	14	61	5	15	228	33	NA	3	77	64	NA	1	9	9	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ag	28.57142857	71.42857143	13.46153846	78.84615385	7.692307692	3.255813953	77.20930233	19.06976744	0.465116279	4.12371134	61.8556701	32.98969072	1.030927835	NA	64.70588235	35.29411765	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10	14	82	8	7	166	41	1	4	60	32	1	NA	11	6	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ah	50	50	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ai	NA	100	26.66666667	66.66666667	6.666666667	5.263157895	78.94736842	15.78947368	NA	NA	26.66666667	73.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	10	1	2	30	6	NA	NA	4	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aj	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ak	NA	NA	NA	100	NA	NA	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
al	36.36363636	63.63636364	8.960573477	78.49462366	12.54480287	2.594339623	82.0754717	15.09433962	0.235849057	0.540540541	73.51351351	25.40540541	0.540540541	NA	50	50	NA	NA	66.66666667	NA	33.33333333	NA	NA	NA	NA	NA	NA	NA	24	42	25	219	35	11	348	64	1	1	136	47	1	NA	17	17	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA
am	38.0952381	61.9047619	8.333333333	82.69230769	8.974358974	3.125	78.90625	17.578125	0.390625	1.204819277	72.28915663	25.90361446	0.602409639	2.380952381	69.04761905	28.57142857	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	8	13	13	129	14	8	202	45	1	2	120	43	1	1	29	12	NA	NA	2	NA	NA	NA	2	NA	NA	NA	NA	NA
an	22.03389831	77.96610169	9.051724138	75.43103448	15.51724138	2.721088435	75.51020408	21.31519274	0.453514739	1.672240803	65.55183946	30.43478261	2.341137124	0.724637681	60.86956522	38.4057971	NA	2.325581395	72.09302326	25.58139535	NA	11.76470588	64.70588235	23.52941176	NA	NA	NA	NA	13	46	21	175	36	12	333	94	2	5	196	91	7	1	84	53	NA	1	31	11	NA	2	11	4	NA	NA	NA	NA
ao	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ap	25	75	12.39669421	80.16528926	7.438016529	5.574912892	77.35191638	16.37630662	0.696864111	0.904977376	71.49321267	27.60180995	NA	2.325581395	53.48837209	41.86046512	2.325581395	NA	71.42857143	28.57142857	NA	NA	100	NA	NA	NA	NA	NA	3	9	15	97	9	16	222	47	2	2	158	61	NA	1	23	18	1	NA	5	2	NA	NA	1	NA	NA	NA	NA	NA
aq	NA	NA	NA	33.33333333	66.66666667	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ar	28.84615385	71.15384615	8.070175439	78.59649123	13.33333333	3.234501348	80.05390836	16.7115903	NA	1.630434783	69.02173913	28.26086957	1.086956522	1.785714286	50	48.21428571	NA	NA	66.66666667	33.33333333	NA	NA	100	NA	NA	NA	NA	NA	15	37	23	224	38	12	297	62	NA	3	127	52	2	1	28	27	NA	NA	2	1	NA	NA	1	NA	NA	NA	NA	NA
as	27.5862069	72.4137931	9.743589744	84.1025641	6.153846154	4.009433962	76.88679245	19.10377358	NA	1.793721973	66.8161435	30.94170404	0.448430493	NA	54.16666667	45.83333333	NA	14.28571429	71.42857143	14.28571429	NA	NA	NA	NA	NA	NA	NA	NA	8	21	19	164	12	17	326	81	NA	4	149	69	1	NA	26	22	NA	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA
at	29.41176471	70.58823529	10.18518519	76.85185185	12.96296296	5.394190871	74.27385892	19.91701245	0.414937759	1.587301587	69.84126984	27.77777778	0.793650794	4	44	52	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	5	12	11	83	14	13	179	48	1	2	88	35	1	1	11	13	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
au	11.11111111	88.88888889	7.936507937	69.84126984	22.22222222	3.875968992	72.09302326	22.48062016	1.550387597	2.362204724	73.22834646	24.40944882	NA	2.298850575	80.45977011	17.24137931	NA	NA	73.33333333	26.66666667	NA	NA	66.66666667	33.33333333	100	NA	NA	NA	1	8	5	44	14	5	93	29	2	3	93	31	NA	2	70	15	NA	NA	33	12	NA	NA	6	3	4	NA	NA	NA
av	33.33333333	66.66666667	9.022556391	85.71428571	5.263157895	3.719008264	80.99173554	15.2892562	NA	NA	67.36111111	32.63888889	NA	NA	37.14285714	62.85714286	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	6	12	12	114	7	9	196	37	NA	NA	97	47	NA	NA	13	22	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ay	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
az	50	50	13.33333333	83.33333333	3.333333333	1.785714286	94.64285714	3.571428571	NA	NA	47.05882353	52.94117647	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	4	25	1	1	53	2	NA	NA	8	9	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ba	28.08219178	71.91780822	3.289473684	84.42982456	12.28070175	0.278551532	80.77994429	18.38440111	0.557103064	NA	74.07407407	25.92592593	NA	NA	37.5	62.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	105	15	385	56	1	290	66	2	NA	40	14	NA	NA	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
be	21.64948454	78.35051546	3.6	85.6	10.8	1.807228916	83.73493976	14.45783133	NA	1.5625	84.375	14.0625	NA	NA	75	25	NA	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	21	76	9	214	27	3	139	24	NA	1	54	9	NA	NA	6	2	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA
bi	16.88311688	83.11688312	3.389830508	84.74576271	11.86440678	1.282051282	78.84615385	19.87179487	NA	4.081632653	73.46938776	22.44897959	NA	NA	81.25	18.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	64	6	150	21	2	123	31	NA	2	36	11	NA	NA	13	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
