1lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
!	20	80	NA	NA	1	4	NA	NA
a	5.382215289	74.45397816	19.75429017	0.409516381	552	7636	2026	42
b	4.972375691	82.87292818	12.09653969	0.058156441	171	2850	416	2
c	4.718519229	77.37604297	17.45468495	0.450752853	492	8068	1820	47
d	4.422848076	75.66441888	19.43673146	0.476001587	223	3815	980	24
e	4.373757455	71.07355865	23.88999337	0.662690524	132	2145	721	20
f	4.827586207	78.46153846	16.49867374	0.212201592	182	2958	622	8
g	4.992	80.096	14.656	0.256	156	2503	458	8
h	9.803921569	74.50980392	15.68627451	NA	5	38	8	NA
i	5.22875817	73.91304348	20.47456664	0.383631714	368	5202	1441	27
j	NA	84.7826087	15.2173913	NA	NA	39	7	NA
k	18.51851852	66.66666667	14.81481481	NA	15	54	12	NA
l	4.397862721	78.0106864	16.93382655	0.657624332	107	1898	412	16
m	5.211480363	77.81344411	16.65407855	0.320996979	276	4121	882	17
n	5.114029026	76.50310988	18.10642709	0.276434001	74	1107	262	4
o	4.840370752	76.3130793	18.22863028	0.61791967	94	1482	354	12
p	4.531758467	76.69037001	18.39218995	0.385681572	376	6363	1526	32
q	4.024767802	80.80495356	14.86068111	0.309597523	13	261	48	1
r	5.676215856	75.33644237	18.48101266	0.506329114	426	5654	1387	38
s	4.630147941	78.1527389	16.93722511	0.279888045	579	9773	2118	35
t	4.604007634	75.66793893	19.48950382	0.238549618	193	3172	817	10
u	5.529411765	74.70588235	19.76470588	NA	47	635	168	NA
v	5.2912067	78.30224591	16.02588504	0.380662352	139	2057	421	10
w	NA	100	NA	NA	NA	6	NA	NA
x	NA	40	60	NA	NA	2	3	NA
y	NA	100	NA	NA	NA	8	NA	NA
z	3.651685393	85.6741573	10.6741573	NA	13	305	38	NA
