2lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
es	4.575163399	73.38935574	20.91503268	1.120448179	49	786	224	12
et	5.681818182	52.27272727	42.04545455	NA	5	46	37	NA
eu	2.564102564	79.48717949	17.94871795	NA	2	62	14	NA
ev	5.732484076	75.79617834	15.92356688	2.547770701	9	119	25	4
ex	11.11111111	83.33333333	5.555555556	NA	2	15	1	NA
ez	NA	100	NA	NA	NA	2	NA	NA
fa	4.353233831	77.48756219	17.53731343	0.621890547	35	623	141	5
fe	6.236080178	78.61915367	15.14476615	NA	28	353	68	NA
fi	5.649038462	77.28365385	17.06730769	NA	47	643	142	NA
fl	3.623188406	78.98550725	17.39130435	NA	5	109	24	NA
fo	3.881987578	78.26086957	17.70186335	0.155279503	25	504	114	1
fr	4.6875	80.55555556	14.40972222	0.347222222	27	464	83	2
fu	4.47761194	80.59701493	14.92537313	NA	15	270	50	NA
ga	5.148514851	83.56435644	11.28712871	NA	26	422	57	NA
ge	4.6875	70.3125	24.55357143	0.446428571	21	315	110	2
gh	1.098901099	95.6043956	3.296703297	NA	1	87	3	NA
gi	4.715840387	80.16928658	14.51027811	0.604594921	39	663	120	5
gl	8.695652174	78.26086957	13.04347826	NA	6	54	9	NA
gn	NA	71.42857143	28.57142857	NA	NA	5	2	NA
go	5.94795539	77.69516729	16.35687732	NA	16	209	44	NA
gr	4.664179104	81.90298507	13.24626866	0.186567164	25	439	71	1
gu	5.898123324	82.84182306	11.26005362	NA	22	309	42	NA
ha	21.42857143	71.42857143	7.142857143	NA	3	10	1	NA
he	18.18181818	45.45454545	36.36363636	NA	2	5	4	NA
hi	NA	100	NA	NA	NA	10	NA	NA
ho	NA	78.57142857	21.42857143	NA	NA	11	3	NA
hu	NA	100	NA	NA	NA	2	NA	NA
ia	11.53846154	84.61538462	3.846153846	NA	3	22	1	NA
ib	NA	66.66666667	33.33333333	NA	NA	12	6	NA
ic	7.692307692	69.23076923	23.07692308	NA	1	9	3	NA
id	6.024096386	60.84337349	31.92771084	1.204819277	10	101	53	2
ie	NA	93.75	6.25	NA	NA	15	1	NA
if	NA	100	NA	NA	NA	1	NA	NA
ig	3.125	76.5625	20.3125	NA	2	49	13	NA
ik	NA	100	NA	NA	NA	4	NA	NA
il	7.142857143	66.88311688	25.32467532	0.649350649	11	103	39	1
im	5.31039641	73.74719521	20.34405385	0.598354525	71	986	272	8
in	5.119606528	75.3409345	19.20411357	0.335345406	229	3370	859	15
io	NA	77.27272727	22.72727273	NA	NA	17	5	NA
ip	2.985074627	58.95522388	38.05970149	NA	4	79	51	NA
ir	5.72519084	68.32061069	25.57251908	0.381679389	15	179	67	1
is	6.137184116	74.36823105	19.49458484	NA	17	206	54	NA
it	8.928571429	60.71428571	30.35714286	NA	5	34	17	NA
iu	NA	100	NA	NA	NA	4	NA	NA
iv	NA	100	NA	NA	NA	11	NA	NA
iz	NA	100	NA	NA	NA	1	NA	NA
ja	NA	66.66666667	33.33333333	NA	NA	10	5	NA
je	NA	80	20	NA	NA	4	1	NA
ji	NA	100	NA	NA	NA	1	NA	NA
jo	NA	100	NA	NA	NA	4	NA	NA
ju	NA	95.23809524	4.761904762	NA	NA	20	1	NA
ka	24.3902439	63.41463415	12.19512195	NA	10	26	5	NA
ke	5.263157895	78.94736842	15.78947368	NA	1	15	3	NA
kh	NA	100	NA	NA	NA	1	NA	NA
ki	14.28571429	71.42857143	14.28571429	NA	2	10	2	NA
ko	25	50	25	NA	1	2	1	NA
ku	50	NA	50	NA	1	NA	1	NA
l'	6	84	10	NA	3	42	5	NA
la	5.748663102	74.86631016	18.85026738	0.534759358	43	560	141	4
le	3.658536585	79.67479675	16.05691057	0.609756098	18	392	79	3
li	4.293381038	74.95527728	19.49910555	1.252236136	24	419	109	7
ll	NA	100	NA	NA	NA	1	NA	NA
lo	3.558718861	81.49466192	14.59074733	0.355871886	10	229	41	1
lt	NA	100	NA	NA	NA	1	NA	NA
lu	2.990033223	84.38538206	12.2923588	0.332225914	9	254	37	1
ly	NA	100	NA	NA	NA	2	NA	NA
ma	5.304136253	82.23844282	12.26277372	0.194647202	109	1690	252	4
mc	NA	100	NA	NA	NA	1	NA	NA
me	4.576659039	69.10755149	25.74370709	0.57208238	40	604	225	5
mi	5.057471264	76.89655172	17.81609195	0.229885057	44	669	155	2
mn	NA	NA	100	NA	NA	NA	2	NA
mo	5.128205128	77.98408488	16.35720601	0.530503979	58	882	185	6
mu	6.756756757	75.94594595	17.2972973	NA	25	281	64	NA
na	6.571428571	71.14285714	21.71428571	0.571428571	23	249	76	2
ne	4.390243902	77.56097561	17.80487805	0.243902439	18	318	73	1
ni	6.756756757	77.7027027	14.86486486	0.675675676	10	115	22	1
no	4.545454545	80.48128342	14.97326203	NA	17	301	56	NA
nu	3.658536585	75	21.34146341	NA	6	123	35	NA
ny	NA	100	NA	NA	NA	1	NA	NA
o'	NA	NA	100	NA	NA	NA	1	NA
oa	NA	NA	100	NA	NA	NA	1	NA
ob	10	76.66666667	12.5	0.833333333	12	92	15	1
oc	3.546099291	78.0141844	17.0212766	1.418439716	5	110	24	2
od	4.166666667	81.94444444	13.88888889	NA	3	59	10	NA
of	5.050505051	63.63636364	31.31313131	NA	5	63	31	NA
og	11.53846154	84.61538462	3.846153846	NA	3	22	1	NA
oh	100	NA	NA	NA	1	NA	NA	NA
ok	50	50	NA	NA	1	1	NA	NA
ol	3.787878788	81.81818182	14.39393939	NA	5	108	19	NA
om	3.80952381	70.47619048	25.71428571	NA	4	74	27	NA
on	5.084745763	68.6440678	26.27118644	NA	6	81	31	NA
op	5.917159763	75.14792899	17.75147929	1.183431953	10	127	30	2
or	3.325415677	78.85985748	17.10213777	0.712589074	14	332	72	3
os	5.521472393	74.5398773	18.71165644	1.226993865	18	243	61	4
ot	3.289473684	78.28947368	18.42105263	NA	5	119	28	NA
ov	4.545454545	88.63636364	6.818181818	NA	2	39	3	NA
ox	NA	100	NA	NA	NA	4	NA	NA
oz	NA	100	NA	NA	NA	9	NA	NA
pa	4.873853211	78.78440367	16.11238532	0.229357798	85	1374	281	4
pe	4.814004376	75.7840992	18.96425966	0.437636761	66	1039	260	6
ph	NA	NA	100	NA	NA	NA	1	NA
pi	4.292343387	80.97447796	14.73317865	NA	37	698	127	NA
pl	4.519774011	74.01129944	21.46892655	NA	8	131	38	NA
pn	NA	16.66666667	83.33333333	NA	NA	1	5	NA
po	4.022988506	76.62835249	19.348659	NA	42	800	202	NA
pr	4.590665647	75.55470543	19.12777353	0.726855394	120	1975	500	19
ps	0.99009901	47.52475248	51.48514851	NA	1	48	52	NA
pu	4.50928382	78.77984085	15.91511936	0.795755968	17	297	60	3
qu	4.024767802	80.80495356	14.86068111	0.309597523	13	261	48	1
ra	5.908683975	78.96150403	15.04028648	0.089525515	66	882	168	1
re	5.977011494	73.63984674	19.31034483	1.072796935	78	961	252	14
ri	5.666437256	74.09956412	19.75223675	0.481761872	247	3230	861	21
ro	4.8828125	80.859375	14.0625	0.1953125	25	414	72	1
ru	4.62962963	79.16666667	15.74074074	0.462962963	10	171	34	1
s'	NA	100	NA	NA	NA	1	NA	NA
sa	5.298651252	81.11753372	13.19845857	0.385356455	55	842	137	4
sb	5.866666667	80.8	13.33333333	NA	22	303	50	NA
sc	4.194857916	77.62742445	17.81686964	0.360847993	93	1721	395	8
sd	2.127659574	89.36170213	8.510638298	NA	1	42	4	NA
se	5.979543666	77.73406766	16.12903226	0.157356412	76	988	205	2
sf	4.458598726	81.10403397	14.4373673	NA	21	382	68	NA
sg	4.048582996	80.16194332	15.38461538	0.4048583	10	198	38	1
sh	NA	83.33333333	16.66666667	NA	NA	5	1	NA
si	5.739130435	72.69565217	21.04347826	0.52173913	33	418	121	3
sl	4.47761194	89.55223881	5.970149254	NA	3	60	4	NA
sm	2.469135802	85.18518519	11.93415638	0.411522634	6	207	29	1
sn	4.347826087	78.26086957	17.39130435	NA	3	54	12	NA
so	4.881025015	75.4728493	19.40207444	0.244051251	80	1237	318	4
sp	4.368600683	76.51877133	18.83959044	0.273037543	64	1121	276	4
sq	4.081632653	76.53061224	19.3877551	NA	4	75	19	NA
sr	8.333333333	87.5	4.166666667	NA	2	21	1	NA
st	3.293010753	80.91397849	15.38978495	0.403225806	49	1204	229	6
su	4.778972521	78.61409797	16.36798088	0.238948626	40	658	137	2
sv	5.182926829	72.25609756	22.56097561	NA	17	237	74	NA
ta	4.671280277	81.48788927	13.84083045	NA	27	471	80	NA
te	4.008221994	72.04522097	23.53545735	0.411099692	39	701	229	4
th	NA	85.71428571	14.28571429	NA	NA	6	1	NA
ti	7.142857143	71.1038961	21.75324675	NA	22	219	67	NA
to	4.440497336	74.77797513	20.42628774	0.355239787	25	421	115	2
tr	4.578633046	75.91240876	19.30988719	0.199071002	69	1144	291	3
tu	4.280155642	82.10116732	13.22957198	0.389105058	11	211	34	1
ub	4.081632653	85.71428571	10.20408163	NA	2	42	5	NA
uc	5.882352941	58.82352941	35.29411765	NA	3	30	18	NA
ud	7.5	75	17.5	NA	3	30	7	NA
ue	NA	100	NA	NA	NA	1	NA	NA
uf	5	95	NA	NA	1	19	NA	NA
ug	NA	95.65217391	4.347826087	NA	NA	22	1	NA
ul	2.197802198	82.41758242	15.38461538	NA	2	75	14	NA
um	4.819277108	71.08433735	24.09638554	NA	4	59	20	NA
un	8.536585366	69.51219512	21.95121951	NA	14	114	36	NA
uo	NA	75	25	NA	NA	6	2	NA
up	NA	50	50	NA	NA	1	1	NA
ur	4.587155963	76.14678899	19.26605505	NA	5	83	21	NA
us	7.8125	77.34375	14.84375	NA	10	99	19	NA
ut	4.285714286	62.85714286	32.85714286	NA	3	44	23	NA
uv	NA	100	NA	NA	NA	5	NA	NA
ux	NA	100	NA	NA	NA	2	NA	NA
uz	NA	75	25	NA	NA	3	1	NA
va	4.761904762	86.47619048	8.571428571	0.19047619	25	454	45	1
ve	4.515418502	74.66960352	20.26431718	0.550660793	41	678	184	5
vi	5.023923445	78.94736842	15.66985646	0.358851675	42	660	131	3
vl	NA	100	NA	NA	NA	1	NA	NA
vo	7.878787879	75.75757576	16.06060606	0.303030303	26	250	53	1
vu	14.28571429	62.85714286	22.85714286	NA	5	22	8	NA
wa	NA	100	NA	NA	NA	4	NA	NA
we	NA	100	NA	NA	NA	1	NA	NA
wi	NA	100	NA	NA	NA	1	NA	NA
xe	NA	40	60	NA	NA	2	3	NA
ya	NA	100	NA	NA	NA	2	NA	NA
yo	NA	100	NA	NA	NA	4	NA	NA
yu	NA	100	NA	NA	NA	2	NA	NA
za	3.759398496	87.21804511	9.022556391	NA	5	116	12	NA
ze	1.754385965	94.73684211	3.50877193	NA	1	54	2	NA
zi	7.142857143	83.92857143	8.928571429	NA	4	47	5	NA
zo	3.076923077	73.84615385	23.07692308	NA	2	48	15	NA
zu	2.222222222	88.88888889	8.888888889	NA	1	40	4	NA
