2lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
a'	NA	NA	100	NA	NA	NA	1	NA
ab	6.275303644	76.72064777	16.19433198	0.809716599	31	379	80	4
ac	5.405405405	73.34575955	20.41006524	0.838769804	58	787	219	9
ad	4.525862069	77.80172414	17.24137931	0.431034483	21	361	80	2
ae	2.631578947	52.63157895	44.73684211	NA	1	20	17	NA
af	6.463878327	72.43346008	21.1026616	NA	34	381	111	NA
ag	6.458797327	73.71937639	19.37639198	0.445434298	29	331	87	2
ah	33.33333333	66.66666667	NA	NA	2	4	NA	NA
ai	8.450704225	66.1971831	25.35211268	NA	6	47	18	NA
aj	NA	100	NA	NA	NA	2	NA	NA
ak	NA	57.14285714	42.85714286	NA	NA	4	3	NA
al	6.155398587	77.0938446	16.44803229	0.302724521	61	764	163	3
am	4.968944099	77.01863354	17.70186335	0.310559006	32	496	114	2
an	4.478827362	71.25407166	23.53420195	0.732899023	55	875	289	9
ao	NA	66.66666667	33.33333333	NA	NA	2	1	NA
ap	5.346820809	74.42196532	19.79768786	0.433526012	37	515	137	3
aq	NA	83.33333333	16.66666667	NA	NA	10	2	NA
ar	5.678233438	75.2891693	18.82229232	0.210304942	54	716	179	2
as	5.291576674	74.62203024	19.97840173	0.107991361	49	691	185	1
at	6.177606178	72.00772201	21.42857143	0.386100386	32	373	111	2
au	3.382663848	74.20718816	21.98731501	0.422832981	16	351	104	2
av	4.712041885	75.39267016	19.72076789	0.17452007	27	432	113	1
ay	NA	100	NA	NA	NA	2	NA	NA
az	6.422018349	82.56880734	11.00917431	NA	7	90	12	NA
ba	5.577299413	80.52837573	13.69863014	0.195694716	57	823	140	2
be	5.782312925	83.50340136	10.71428571	NA	34	491	63	NA
bi	4.842105263	81.26315789	13.89473684	NA	23	386	66	NA
bl	2.380952381	86.9047619	10.71428571	NA	2	73	9	NA
bo	4.283054004	85.47486034	10.24208566	NA	23	459	55	NA
br	4.608294931	85.71428571	9.677419355	NA	20	372	42	NA
bu	4.318936877	82.05980066	13.62126246	NA	13	247	41	NA
by	NA	100	NA	NA	NA	1	NA	NA
ca	4.950855479	80.99745177	13.83327266	0.218420095	136	2225	380	6
ce	4.223227753	76.16892911	19.15535445	0.452488688	28	505	127	3
ch	4.408352668	66.35730858	27.61020882	1.62412993	19	286	119	7
ci	4.6875	77.27272727	17.61363636	0.426136364	33	544	124	3
cl	1.242236025	75.1552795	22.98136646	0.621118012	2	121	37	1
cn	NA	100	NA	NA	NA	1	NA	NA
co	4.701739851	77.09196355	17.75062138	0.455675228	227	3722	857	22
cr	4.659498208	73.29749104	21.50537634	0.537634409	26	409	120	3
cu	5.952380952	76.78571429	16.66666667	0.595238095	20	258	56	2
cy	50	50	NA	NA	1	1	NA	NA
d'	4.761904762	87.3015873	7.936507937	NA	3	55	5	NA
da	6.349206349	71.42857143	21.9047619	0.317460317	20	225	69	1
de	4.252491694	77.07641196	17.94019934	0.73089701	64	1160	270	11
di	3.557974048	74.21515278	21.8501465	0.376726664	85	1773	522	9
dj	33.33333333	66.66666667	NA	NA	1	2	NA	NA
do	5.9566787	79.06137184	14.62093863	0.36101083	33	438	81	2
dr	4.166666667	79.16666667	16.66666667	NA	4	76	16	NA
du	9.77443609	76.69172932	12.78195489	0.751879699	13	102	17	1
e'	NA	50	50	NA	NA	1	1	NA
eb	4.347826087	52.17391304	43.47826087	NA	1	12	10	NA
ec	4.093567251	64.32748538	30.99415205	0.584795322	7	110	53	1
ed	1.886792453	81.13207547	16.98113208	NA	2	86	18	NA
ef	7.352941176	75	17.64705882	NA	5	51	12	NA
eg	1.408450704	78.87323944	19.71830986	NA	1	56	14	NA
ei	NA	100	NA	NA	NA	3	NA	NA
ek	NA	100	NA	NA	NA	1	NA	NA
el	5.014749263	69.02654867	25.36873156	0.589970501	17	234	86	2
em	4.464285714	74.10714286	21.42857143	NA	10	166	48	NA
en	4.807692308	62.5	32.69230769	NA	10	130	68	NA
eo	NA	60	40	NA	NA	3	2	NA
ep	3.333333333	48.88888889	47.77777778	NA	3	44	43	NA
eq	2.597402597	88.31168831	9.090909091	NA	2	68	7	NA
er	3.139013453	70.40358744	26.00896861	0.448430493	7	157	58	1
