1lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%ULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%ULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
!	100	0	0	100	0	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	3	0	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a	5.469525179	94.53047482	1.705636767	92.50232901	5.792034228	3.590773897	76.96625894	19.24796628	0.195000886	0.777938731	83.60963571	15.19931327	0.413112291	1.833105335	78.46785226	19.67168263	0.027359781	0.540540541	62.43243243	36.48648649	0.540540541	2.739726027	86.30136986	10.95890411	100	NA	NA	NA	4906	84791	1483	80428	5036	1823	39075	9772	99	145	15584	2833	77	67	2868	719	1	2	231	135	2	2	63	8	8	NA	NA	NA
b	3.976647366	96.02335263	1.38334029	89.33277682	9.283882893	1.624203822	78.07324841	20.25477707	0.047770701	0.770218228	82.28498074	16.94480103	0	0	66.66666667	33.33333333	0	0	85.71428571	14.28571429	0	NA	NA	NA	NA	NA	NA	NA	831	20066	232	14982	1557	102	4903	1272	3	6	641	132	0	0	46	23	0	0	6	1	0	NA	NA	NA	NA	NA	NA	NA
c	10.65394411	89.34605589	1.738585523	82.57625439	15.68516009	3.985155076	81.50790846	14.2838208	0.223115667	2.400119261	83.07990459	12.45527728	2.064698867	1.878078818	71.85960591	26.26231527	0	3.426791277	40.80996885	55.76323988	0	0	97.45762712	2.542372881	NA	NA	NA	NA	8910	74721	1193	56663	10763	1804	36897	6466	101	322	11146	1671	277	61	2334	853	0	11	131	179	0	0	115	3	NA	NA	NA	NA
d	1.053401479	98.94659852	1.226698397	87.22023911	11.5530625	3.454609402	74.65317128	21.72417836	0.168040955	0.623853211	82.16513761	16.31804281	0.892966361	13.73895976	73.20902846	12.85574092	0.196270854	0	94.89361702	5.106382979	0	0	100	0	100	NA	NA	NA	1181	110932	433	30787	4078	884	19103	5559	43	51	6717	1334	73	140	746	131	2	0	223	12	0	0	8	0	3	NA	NA	NA
e	4.565043095	95.43495691	0.742608939	54.81014432	44.44724674	1.222332342	78.68076203	19.83812355	0.258782072	1.814734561	75.52816901	22.156013	0.501083424	2.644003777	86.5911237	10.76487252	0	0.444444444	73.77777778	25.77777778	0	0	100	0	100	NA	NA	NA	3644	76180	265	19559	15861	222	14290	3603	47	134	5577	1636	37	28	917	114	0	1	166	58	0	0	7	0	2	NA	NA	NA
f	2.287384119	97.71261588	1.396667358	85.41450598	13.18882666	3.896103896	78.98719985	17.07932355	0.037372699	3.532080363	71.25729099	24.75696695	0.453661698	0	75.33875339	24.66124661	0	0	100	0	0	0	100	0	100	NA	NA	NA	1135	48485	404	24707	3815	417	8454	1828	4	109	2199	764	14	0	278	91	0	0	70	0	0	0	2	0	1	NA	NA	NA
g	3.059161177	96.94083882	2.229985165	75.79556874	21.97444609	0.720092915	86.36469222	12.59001161	0.325203252	3.691915977	71.41947804	24.31572247	0.572883514	4.621848739	79.83193277	15.54621849	0	0	78.94736842	21.05263158	0	NA	NA	NA	NA	NA	NA	NA	938	29724	466	15839	4592	62	7436	1084	28	58	1122	382	9	11	190	37	0	0	15	4	0	NA	NA	NA	NA	NA	NA	NA
h	12.76595745	87.23404255	5.472636816	57.21393035	37.31343284	0	93.93939394	6.060606061	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	205	11	115	75	0	31	2	0	0	34	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i	0.771031254	99.22896875	1.47565853	94.20079989	4.32354158	2.996118389	81.84133916	15.08672974	0.075812712	1.677612328	81.27966708	16.74361142	0.299109175	2.884770346	63.40048348	33.42465753	0.290088638	12.86089239	56.95538058	30.18372703	0	28.30188679	60.37735849	11.32075472	100	NA	NA	NA	168	21621	428	27322	1254	988	26988	4975	25	258	12500	2575	46	179	3934	2074	18	98	434	230	0	15	32	6	12	NA	NA	NA
