1lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%ULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S7_%PAPULT_Tk	S8_%ULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S10_%APULT_Tk	S11_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S7_nPAPULT_Tk	S8_nULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk	S10_nAPULT_Tk	S11_nPULT_Tk
j	0	100	0	80.18018018	19.81981982	0	97.63313609	2.366863905	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	290	0	178	44	0	165	4	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k	39.39393939	60.60606061	28.07881773	26.60098522	45.32019704	0	74.6031746	25.3968254	0	0	50	50	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	80	57	54	92	0	47	16	0	0	1	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l	2.024041431	97.97595857	4.570383912	71.6179159	23.81170018	3.651011313	84.59033253	11.05587933	0.702776826	2.991232594	89.01495616	7.839092316	0.154718927	0	95.04950495	4.95049505	0	0	85.71428571	14.28571429	0	0	34.7826087	65.2173913	NA	NA	NA	NA	426	20621	900	14103	4689	213	4935	645	41	58	1726	152	3	0	96	5	0	0	30	5	0	0	8	15	NA	NA	NA	NA
m	3.577868128	96.42213187	1.589777012	78.70676412	19.70345887	4.009741179	82.87364785	12.79945631	0.31715467	1.266747868	79.7320341	18.0998782	0.901339829	1.711711712	75.04504505	23.24324324	0	5.263157895	71.71052632	23.02631579	0	0	33.33333333	66.66666667	100	NA	NA	NA	2024	54546	683	33814	8465	708	14633	2260	56	52	3273	743	37	19	833	258	0	8	109	35	0	0	1	2	7	NA	NA	NA
n	3.012311185	96.98768882	3.729491797	73.59743898	22.67306923	6.195099399	84.43519803	9.323470489	0.046232085	2.824478816	86.81909886	9.616677875	0.739744452	0.790513834	79.44664032	19.76284585	0	0	87.87878788	12.12121212	0	0	80	20	100	NA	NA	NA	690	22216	466	9196	2833	402	5479	605	3	42	1291	143	11	2	201	50	0	0	29	4	0	0	4	1	2	NA	NA	NA
o	0.435816165	99.56418384	1.611187111	73.16461468	25.22419821	1.655951685	83.76193259	13.46191311	1.120202611	4.502994012	84.74251497	10.56287425	0.191616766	6.962025316	86.81434599	6.223628692	0	0	95.34883721	4.651162791	0	0	75	25	100	0	100	NA	77	17591	212	9627	3319	170	8599	1382	115	188	3538	441	8	66	823	59	0	0	41	2	0	0	3	1	2	0	1	NA
q	0.285438442	99.71456156	13.72467098	81.63776896	4.637560058	0.349162011	60.89385475	38.75698324	0	3.436426117	88.65979381	7.560137457	0.343642612	0	84.68468468	15.31531532	0	0	50	50	0	0	100	0	NA	100	0	100	136	47510	657	3908	222	5	872	555	0	10	258	22	1	0	94	17	0	0	7	7	0	0	1	0	NA	1	0	1
r	3.254475703	96.7455243	4.978011516	88.28489822	6.737090266	1.7345374	79.10376555	18.98108707	0.180609985	1.519955241	79.63446475	18.4539351	0.391644909	17.1641791	72.52798507	9.934701493	0.373134328	2.564102564	87.17948718	10.25641026	0	0	100	0	NA	NA	NA	NA	509	15131	2196	38946	2972	509	23213	5570	53	163	8540	1979	42	368	1555	213	8	5	170	20	0	0	13	0	NA	NA	NA	NA
s	1.694931366	98.30506863	3.104420243	78.35618193	18.53939782	2.222828724	81.88379427	15.72658903	0.166787967	5.109150023	78.2861124	16.33766837	0.267069206	1.989467525	88.70684611	7.957870099	1.345816267	2.479338843	68.18181818	29.33884298	0	4.545454545	95.45454545	0	NA	NA	NA	NA	1783	103413	2423	61157	14470	733	27002	5186	55	440	6742	1407	23	34	1516	136	23	6	165	71	0	1	21	0	NA	NA	NA	NA
t	1.990192561	98.00980744	1.593965966	76.59953927	21.80649476	1.927550681	82.33632436	15.64473247	0.091392489	0.657318142	75.50394391	23.55390009	0.284837862	0	83.22368421	16.77631579	0	0.588235294	95.29411765	4.117647059	0	0	100	0	NA	NA	NA	NA	832	40973	429	20616	5869	232	9910	1883	11	30	3446	1075	13	0	253	51	0	1	162	7	0	0	38	0	NA	NA	NA	NA
u	0.400655159	99.59934484	2.650370777	54.20214227	43.14748695	8.674963397	76.72035139	14.60468521	0	31.07675906	58.79530917	10.12793177	0	1.058201058	91.53439153	7.407407407	0	2.857142857	80	17.14285714	0	50	50	0	NA	NA	NA	NA	159	39526	386	7894	6284	237	2096	399	0	583	1103	190	0	4	346	28	0	1	28	6	0	1	1	0	NA	NA	NA	NA
v	3.554143241	96.44585676	4.963112005	73.28303152	21.75385647	7.30300033	68.64490603	23.75535773	0.296735905	2.3125	83.8125	12.3125	1.5625	0.524934383	84.77690289	14.69816273	0	0	80.76923077	19.23076923	0	0	100	0	NA	NA	NA	NA	1454	39456	1480	21853	6487	443	4164	1441	18	37	1341	197	25	2	323	56	0	0	21	5	0	0	13	0	NA	NA	NA	NA
w	0	100	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	NA	NA	NA	0	7	0	0	NA	NA	NA	NA	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
x	NA	NA	NA	NA	NA	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	6	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
y	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
z	1.253918495	98.7460815	0.589970501	60.76696165	38.64306785	0	91.42857143	8.571428571	0	0	50	50	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	1890	4	412	262	0	160	15	0	0	14	14	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
