1lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
!	20	80	0	0	1	4	0	0
a	3.36907074728771	89.1628490793818	7.39652539594976	0.0715547773806954	8428	223048	18503	179
b	2.61366426355378	90.7171394772672	6.66250027899917	0.00669598017989867	1171	40644	2985	3
c	5.7314987815731	84.8039101485875	9.28846664585479	0.176124423984605	12301	182007	19935	378
d	1.47390923043192	92.3695461521596	6.09186581889936	0.0646787985090989	2689	168519	11114	118
e	3.01655098772023	81.9807794981313	14.9436592013938	0.0590103127546576	4294	116698	21272	84
f	2.22576716211992	90.7509404270455	7.00389105058366	0.0194013602509243	2065	84196	6498	18
g	2.47592625449619	87.6268206526122	9.83757278577996	0.0596803071116344	1535	54326	6099	37
h	8.15109343936382	76.5407554671968	15.3081510934394	0	41	385	77	0
i	2.00979468826521	87.4392540968167	10.4671312864946	0.0838199284234319	2134	92843	11114	89
j	0	92.8152492668622	7.18475073313783	0	0	633	49	0
k	27.1820448877805	45.6359102244389	27.1820448877805	0	109	183	109	0
l	3.28121468636354	85.3054180107251	11.3229643935814	0.0904029093299912	1597	41519	5511	44
m	2.85070900576016	87.4761353066919	9.59727820113245	0.0758774864154823	3494	107216	11763	93
n	3.66842225784291	87.9734371422029	8.32608197847492	0.0320586214792764	1602	38418	3636	14
o	1.54112179833568	86.9426132065276	11.2504052739652	0.265859721171512	713	40224	5205	123
p	6.71960673095103	80.4429003592361	12.7415390432974	0.0959538665154093	14216	170185	26956	203
q	1.48846805688601	96.9935892712401	1.51610050843711	0.00184216343674011	808	52652	823	1
r	3.67017372155615	85.7039393197945	10.5250795204306	0.100807438218742	3750	87568	10754	103
s	2.38969696702483	88.1877543462062	9.37801743332437	0.0445312534445586	5420	200016	21270	101
t	1.77558224883783	87.8447181088418	10.3517377171418	0.0279619251785485	1524	75398	8885	24
u	2.31306519098394	86.033877716291	11.6530570927251	0	1371	50994	6907	0
v	4.33414535119773	85.2250812017864	10.3862159967519	0.0545574502639058	3416	67171	8186	43
w	0	100	0	0	0	20	0	0
x	0	40	60	0	0	4	6	0
y	0	100	0	0	0	74	0	0
z	1.00035727045373	88.6030725259021	10.3965702036442	0	28	2480	291	0
