4lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
abad	NA	100	NA	NA	NA	1	NA	NA
aban	66.66666667	NA	33.33333333	NA	2	NA	1	NA
abas	NA	100	NA	NA	NA	1	NA	NA
abat	20	80	NA	NA	1	4	NA	NA
abba	6.504065041	72.35772358	21.13821138	NA	8	89	26	NA
abbe	5.882352941	76.47058824	11.76470588	5.882352941	1	13	2	1
abbi	6.896551724	79.31034483	13.79310345	NA	2	23	4	NA
abbo	5.882352941	78.43137255	15.68627451	NA	3	40	8	NA
abbr	1.785714286	87.5	10.71428571	NA	1	49	6	NA
abbu	NA	100	NA	NA	NA	7	NA	NA
abdi	20	40	40	NA	1	2	2	NA
abdu	100	NA	NA	NA	1	NA	NA	NA
abeb	NA	100	NA	NA	NA	1	NA	NA
abed	100	NA	NA	NA	1	NA	NA	NA
abel	33.33333333	66.66666667	NA	NA	1	2	NA	NA
aber	NA	100	NA	NA	NA	3	NA	NA
abet	NA	100	NA	NA	NA	4	NA	NA
abid	100	NA	NA	NA	1	NA	NA	NA
abie	NA	100	NA	NA	NA	3	NA	NA
abil	7.142857143	64.28571429	21.42857143	7.142857143	1	9	3	1
abim	100	NA	NA	NA	1	NA	NA	NA
abio	NA	100	NA	NA	NA	1	NA	NA
abis	NA	100	NA	NA	NA	5	NA	NA
abit	4.47761194	71.64179104	20.89552239	2.985074627	3	48	14	2
abiu	NA	100	NA	NA	NA	3	NA	NA
ablu	NA	100	NA	NA	NA	2	NA	NA
abne	NA	100	NA	NA	NA	1	NA	NA
abno	NA	100	NA	NA	NA	2	NA	NA
abol	6.666666667	80	13.33333333	NA	1	12	2	NA
abom	NA	NA	100	NA	NA	NA	2	NA
abor	NA	72.72727273	27.27272727	NA	NA	16	6	NA
abra	NA	87.5	12.5	NA	NA	7	1	NA
abri	100	NA	NA	NA	2	NA	NA	NA
abro	NA	100	NA	NA	NA	7	NA	NA
abru	NA	100	NA	NA	NA	5	NA	NA
abse	NA	100	NA	NA	NA	1	NA	NA
absi	NA	50	50	NA	NA	2	2	NA
abul	NA	100	NA	NA	NA	2	NA	NA
abus	NA	93.33333333	6.666666667	NA	NA	14	1	NA
acac	NA	100	NA	NA	NA	2	NA	NA
acad	NA	100	NA	NA	NA	3	NA	NA
acan	NA	100	NA	NA	NA	1	NA	NA
acap	NA	100	NA	NA	NA	1	NA	NA
acar	NA	NA	100	NA	NA	NA	1	NA
acca	3.870967742	77.41935484	18.70967742	NA	6	120	29	NA
acce	8.376963351	73.82198953	16.7539267	1.047120419	16	141	32	2
acch	6.25	87.5	6.25	NA	1	14	1	NA
acci	7.142857143	83.33333333	9.523809524	NA	3	35	4	NA
accl	NA	88.23529412	11.76470588	NA	NA	15	2	NA
acco	5.775075988	72.6443769	19.75683891	1.823708207	19	239	65	6
accr	NA	65.38461538	34.61538462	NA	NA	17	9	NA
accu	3.658536585	68.29268293	26.82926829	1.219512195	3	56	22	1
acef	NA	NA	100	NA	NA	NA	1	NA
acer	NA	71.42857143	28.57142857	NA	NA	5	2	NA
acet	NA	85.71428571	14.28571429	NA	NA	6	1	NA
ache	NA	100	NA	NA	NA	3	NA	NA
achi	25	75	NA	NA	1	3	NA	NA
acic	NA	100	NA	NA	NA	1	NA	NA
acid	8.333333333	25	66.66666667	NA	1	3	8	NA
acie	NA	100	NA	NA	NA	1	NA	NA
acil	NA	100	NA	NA	NA	1	NA	NA
acin	NA	NA	100	NA	NA	NA	2	NA
acip	100	NA	NA	NA	1	NA	NA	NA
acir	NA	100	NA	NA	NA	1	NA	NA
acit	NA	100	NA	NA	NA	1	NA	NA
acli	NA	100	NA	NA	NA	1	NA	NA
acme	NA	100	NA	NA	NA	1	NA	NA
acne	NA	100	NA	NA	NA	1	NA	NA
acor	NA	100	NA	NA	NA	1	NA	NA
acos	NA	100	NA	NA	NA	1	NA	NA
acot	100	NA	NA	NA	1	NA	NA	NA
acqu	5.714285714	76.19047619	18.0952381	NA	6	80	19	NA
acre	NA	66.66666667	33.33333333	NA	NA	2	1	NA
acri	NA	25	75	NA	NA	2	6	NA
acro	NA	46.15384615	53.84615385	NA	NA	6	7	NA
actu	NA	100	NA	NA	NA	2	NA	NA
