CV-structure	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty
CVCCVCVCCCVVCV	0	50	0	50	0	1	0	1
CVCCVCVCCVCCCV	0	100	0	0	0	3	0	0
CVCCVCVCCVCCV	0	84.44444444	15.55555556	0	0	76	14	0
CVCCVCVCCVCCVV	0	100	0	0	0	3	0	0
CVCCVCVCCVCV	0	51.39664804	48.04469274	0.558659218	0	184	172	2
CVCCVCVCCVCVV	0	100	0	0	0	2	0	0
CVCCVCVCCVV	0	0	100	0	0	0	1	0
CVCCVCVCCVVCCV	0	100	0	0	0	7	0	0
CVCCVCVCCVVCV	0	96.61016949	3.389830508	0	0	57	2	0
CVCCVCVCCVVV	0	100	0	0	0	2	0	0
CVCCVCVCVCCCV	0	100	0	0	0	6	0	0
CVCCVCVCVCCV	0	93.28621908	6.713780919	0	0	264	19	0
CVCCVCVCVCV	0	62.08459215	35.19637462	2.719033233	0	411	233	18
CVCCVCVCVCVV	0	100	0	0	0	19	0	0
CVCCVCVCVV	0	77.63157895	22.36842105	0	0	59	17	0
CVCCVCVCVVCCV	0	100	0	0	0	8	0	0
CVCCVCVCVVCV	0	98.77300613	1.226993865	0	0	161	2	0
CVCCVCVCVVV	0	100	0	0	0	2	0	0
CVCCVCVVCCCV	0	100	0	0	0	1	0	0
CVCCVCVVCCCVCCV	0	100	0	0	0	1	0	0
CVCCVCVVCCCVCV	0	100	0	0	0	1	0	0
CVCCVCVVCCCAVCV	0	100	0	0	0	1	0	0
CVCCVCVVCCV	0	100	0	0	0	39	0	0
CVCCVCVVCCVCCV	0	100	0	0	0	3	0	0
CVCCVCVVCCVCV	0	55.55555556	44.44444444	0	0	5	4	0
CVCCVCVVCV	0	92.59259259	1.851851852	5.555555556	0	50	1	3
CVCCVCVVCVCCCV	0	100	0	0	0	1	0	0
CVCCVCVVCVCCV	0	93.10344828	6.896551724	0	0	27	2	0
CVCCVCVVCVCV	0	71.42857143	27.27272727	1.298701299	0	55	21	1
CVCCVCVVCVCVV	0	100	0	0	0	3	0	0
CVCCVCVVCVV	0	100	0	0	0	1	0	0
CVCCVCVVCVVCV	0	100	0	0	0	8	0	0
