ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_pia_%_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk
tto	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	100	NA	0	21619	0	11276	0	3225	0	184	0	8	0	NA	NA	NA	NA	1	NA
ttu	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vra	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21	0	184	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vre	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vro	NA	NA	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vve	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vvi	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
xpo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yme	NA	NA	0	0	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zda	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zza	0	100	0	99.4350282485876	0.564971751412429	100	0	100	0	100	0	100	0	NA	NA	NA	NA	0	1774	0	2464	14	1501	0	274	0	107	0	4	0	NA	NA	NA	NA
zze	0	100	0	98.3928571428571	1.60714285714286	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	396	0	551	9	146	0	33	0	2	0	NA	NA	NA	NA	NA	NA
zzi	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	1232	0	1021	0	153	0	36	0	1	0	NA	NA	NA	NA	NA	NA
zzo	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2352	0	1771	0	323	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA
zzu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
