ending	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S5_pia_%_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S8_%APULT_Tk	S9_%PULT_Tk	S10_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk	S8_nAPULT_Tk	S9_nPULT_Tk	S10_nPULT_Tk
ghi	0	100	0	78.2006920415225	21.7993079584775	59.3220338983051	40.6779661016949	42.8571428571429	57.1428571428571	NA	NA	NA	NA	NA	NA	NA	NA	0	707	0	452	126	70	48	3	4	NA	NA	NA	NA	NA	NA	NA	NA
gla	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gle	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gli	0	100	0	85.171568627451	14.828431372549	55.1401869158878	44.8598130841121	27.3809523809524	72.6190476190476	28.5714285714286	71.4285714285714	NA	NA	NA	NA	NA	NA	0	11115	0	695	121	177	144	23	61	4	10	NA	NA	NA	NA	NA	NA
glo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gma	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	26	0	10	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gmi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	0	11	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gna	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	578	0	2914	0	88	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA
gne	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	0	333	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gni	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4090	0	818	0	52	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gno	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2331	0	2207	0	74	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
gra	0	100	0	93.1818181818182	6.81818181818182	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	82	6	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gre	0	100	0	88.8888888888889	11.1111111111111	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	73	0	16	2	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gri	0	100	0	90.625	9.375	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	84	0	29	3	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gro	0	100	0	93.75	6.25	90.4761904761905	9.52380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	110	0	60	4	19	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
jka	NA	NA	NA	NA	NA	NA	NA	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	NA	NA
jno	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kko	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ktu	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kyo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lba	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	238	0	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lbe	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lbi	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lbo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	84	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lca	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lce	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	286	NA	NA	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lci	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	163	0	2	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lco	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	136	0	2	0	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lda	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	141	0	58	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lde	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	97	0	9	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ldi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	612	0	112	0	79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ldo	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	497	0	141	0	25	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
lfa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	265	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lfi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	0	11	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lfo	0	100	0	100	0	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	106	0	30	0	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA
lga	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	134	0	17	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lge	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	94	0	81	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	0	3	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lgo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	33	0	5	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lhi	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lje	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lka	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lke	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lla	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	61841	0	1818	0	641	0	13	0	3	0	NA	NA	NA	NA	NA	NA
lle	0.020031248748047	99.979968751252	3.64963503649635	96.3503649635037	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	5	24956	25	660	0	239	0	14	0	2	0	NA	NA	NA	NA	NA	NA
lli	0	100	0	100	0	100	0	100	0	NA	NA	100	0	NA	NA	NA	NA	0	2052	0	3192	0	767	0	33	0	NA	NA	31	0	NA	NA	NA	NA
llo	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	8945	0	4290	0	817	0	107	0	1	0	NA	NA	NA	NA	NA	NA
llu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lma	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	245	0	26	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lme	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	35	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lmi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	52	0	44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lmo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	90	0	45	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	386	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpe	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	127	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	451	0	11	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lpo	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	483	NA	NA	NA	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lsa	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	137	0	32	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lse	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	127	0	95	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lsi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	114	0	59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lso	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	143	0	116	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSO	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lta	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	4657	0	1364	0	82	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA
lte	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2584	0	213	0	33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lti	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1833	0	643	0	95	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
lto	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5662	0	1454	0	187	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ltu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lva	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	155	0	8	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lve	0	100	0	100	0	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	33	0	53	0	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA
lvi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	87	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lvo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	206	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lya	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lza	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	97	0	36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lze	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31	NA	NA	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lzi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49	0	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lzo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	60	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mba	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	504	0	24	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbe	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	382	0	124	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbi	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	210	0	288	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
mbo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	251	0	127	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mbu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mma	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	100	NA	0	956	0	1381	0	92	0	19	0	2	0	NA	NA	NA	NA	1	NA
mme	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	266	0	3	0	1	0	72	0	NA	NA	NA	NA	NA	NA	NA	NA
mmi	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	168	0	229	0	57	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA
mmo	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	71	0	659	0	135	0	33	0	3	0	NA	NA	NA	NA	NA	NA
mno	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpa	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	602	0	14	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpe	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	129	0	19	0	22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1366	0	77	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4390	0	497	0	103	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nca	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1333	0	46	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nce	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	170	0	170	0	2	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
nci	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	103	0	128	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nco	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1603	0	286	0	18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nda	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1049	0	3021	0	154	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
nde	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	4074	0	2266	0	131	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ndi	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	3056	0	468	0	64	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
ndo	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	0	9438	0	9023	0	4362	0	999	0	57	0	2	0	NA	NA	NA	NA
nfa	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	23	0	15	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfe	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfi	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	20	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nfo	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	20	0	97	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nga	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1008	0	236	0	77	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nge	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	289	0	460	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ngi	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	0	11	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ngo	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1564	0	246	0	34	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ngu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nha	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nho	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nja	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
njo	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nju	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nka	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nke	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nki	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nko	NA	NA	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nna	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	2246	0	677	0	48	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
nne	0.051413881748072	99.9485861182519	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	1	1944	0	461	0	206	0	118	0	26	0	NA	NA	NA	NA	NA	NA
nni	0	100	0	100	0	100	0	100	0	100	0	NA	NA	100	0	NA	NA	0	7616	0	965	0	132	0	11	0	10	0	NA	NA	1	0	NA	NA
nno	0	100	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	0	16523	0	2566	0	862	0	580	0	118	0	3	0	1	0	NA	NA
nri	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nsa	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	449	0	211	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nse	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	165	0	230	0	29	0	60	0	NA	NA	NA	NA	NA	NA	NA	NA
nsi	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	233	0	185	0	5	0	28	0	NA	NA	NA	NA	NA	NA	NA	NA
nso	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1290	0	486	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nsu	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nta	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	100	0	2896	0	3190	0	456	0	32	0	8	0	12	0	NA	NA	NA	1
nte	0	100	0	100	0	100	0	100	0	100	0	100	0	100	0	100	NA	0	6543	0	7521	0	13547	0	8590	0	4060	0	922	0	159	0	3	NA
nti	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	0	3545	0	9058	0	7270	0	2970	0	188	0	61	0	NA	NA	NA	NA
nto	0	100	0	99.5706838393131	0.429316160686906	100	0	100	0	100	0	100	0	100	0	100	NA	0	12045	0	9741	42	4717	0	5233	0	700	0	56	0	4	0	1	NA
ntu	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nya	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nza	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	0	4933	0	4836	0	6974	0	1224	0	34	0	6	0	NA	NA	NA	NA
nze	0	100	0	100	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	0	263	0	1476	0	1472	0	198	0	13	0	6	0	NA	NA	NA	NA
nzi	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	732	0	341	0	3	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
nzo	0	100	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	436	0	804	0	49	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA
pha	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phi	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pla	0	100	0	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ple	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pli	0	100	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	26	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plo	0	100	0	22.2222222222222	77.7777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	0	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppa	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	981	0	73	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ppe	0	100	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	482	0	430	0	45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
