ending	B_%PULT_Ty	B_%APULT_Ty	C_%PULT_Ty	C_%APULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%PULT_Ty	NU_%APULT_Ty	P_%PULT_Ty	P_%APULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_%PULT_Ty	X_%APULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nPULT_Ty	C_nAPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nPULT_Ty	NU_nAPULT_Ty	P_nPULT_Ty	P_nAPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty	X_nPULT_Ty	X_nAPULT_Ty
imo	207	NA	100	NA	NA	NA	15.38461538	84.61538462	NA	1.19047619	98.80952381	NA	100	20	80	NA	100	NA	NA	NA	NA	5.970149254	94.02985075	NA	NA	4.838709677	95.16129032	NA	NA	NA	NA	6	NA	NA	NA	2	11	NA	1	83	NA	1	1	4	NA	4	NA	NA	NA	NA	4	63	NA	NA	3	59	NA	NA	NA
ela	201	NA	NA	NA	NA	NA	87.5	12.5	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	9.433962264	81.76100629	8.805031447	NA	NA	NA	NA	NA	NA	NA	28	4	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	15	130	14	NA	NA
elo	197	NA	NA	NA	NA	NA	43.75	56.25	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	89.47368421	10.52631579	NA	NA	2.45398773	92.02453988	5.521472393	NA	NA	NA	NA	NA	NA	NA	7	9	NA	3	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	17	2	NA	NA	4	150	9	NA	NA
ane	180	100	NA	NA	NA	NA	85.71428571	14.28571429	NA	93.22033898	6.779661017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.3015873	12.6984127	NA	NA	40	60	NA	NA	NA	1	NA	NA	NA	NA	18	3	NA	110	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	8	NA	NA	2	3	NA	NA	NA
uto	173	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.91666667	2.083333333	NA	NA	98.96907216	1.030927835	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	79	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	1	NA	NA	96	1	NA	NA	NA
evi	169	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	21.05263158	78.94736842	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	32	120	NA	NA	NA
ona	166	NA	NA	NA	NA	NA	98.30508475	1.694915254	NA	81.48148148	18.51851852	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	95.23809524	4.761904762	NA	NA	97.95918367	2.040816327	NA	100	NA	NA	NA	NA	NA	NA	58	1	NA	22	5	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	40	2	NA	NA	48	1	NA	1	NA
omi	158	NA	100	NA	NA	NA	70	30	NA	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.5	37.5	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	7	3	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12	NA	NA	NA	114	NA	NA	NA
uta	155	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.85714286	7.142857143	NA	NA	91.20879121	8.791208791	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	3	NA	NA	83	8	NA	NA	NA
aro	154	100	NA	NA	NA	NA	86.66666667	13.33333333	NA	88.23529412	11.76470588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.91304348	26.08695652	NA	NA	100	NA	NA	NA	NA	4	NA	NA	NA	NA	91	14	NA	15	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	12	NA	NA	4	NA	NA	NA	NA
uti	152	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	96.38554217	3.614457831	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	67	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	80	3	NA	NA	NA
oci	148	33.33333333	66.66666667	NA	NA	NA	100	NA	NA	62.5	37.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.75	31.25	NA	NA	NA	100	NA	NA	NA	1	2	NA	NA	NA	5	NA	NA	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	5	NA	NA	NA	125	NA	NA	NA
idi	141	NA	NA	NA	NA	NA	53.84615385	46.15384615	NA	19.64285714	80.35714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.18918919	60.81081081	NA	NA	80	20	NA	NA	NA	NA	NA	NA	NA	NA	7	6	NA	11	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	45	NA	NA	16	4	NA	NA	NA
ide	140	NA	NA	NA	NA	NA	10.34482759	89.65517241	NA	19.64285714	80.35714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.09090909	65.90909091	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	26	NA	11	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	29	NA	NA	18	NA	NA	NA	NA
eli	131	NA	NA	NA	NA	NA	66.66666667	33.33333333	NA	80	20	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	92.85714286	7.142857143	NA	NA	2.083333333	96.875	1.041666667	NA	NA	NA	NA	NA	NA	NA	14	7	NA	4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	13	1	NA	NA	2	93	1	NA	NA
evo	130	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	119	NA	NA	NA	NA
ida	127	NA	NA	NA	NA	3.448275862	34.48275862	62.06896552	NA	11.76470588	88.23529412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.92307692	23.07692308	NA	NA	69.56521739	30.43478261	NA	NA	NA	NA	NA	NA	NA	1	10	18	NA	8	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	6	NA	NA	16	7	NA	NA	NA
ele	124	NA	NA	NA	NA	NA	87.5	12.5	NA	85.71428571	14.28571429	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	96.15384615	3.846153846	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	21	3	NA	6	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	25	1	NA	NA	NA	72	NA	NA	NA
ara	123	NA	NA	NA	NA	NA	96.38554217	3.614457831	NA	80.95238095	19.04761905	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	70.83333333	29.16666667	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	80	3	NA	17	4	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	17	7	NA	NA	12	NA	NA	1	NA
ena	117	100	NA	100	NA	NA	94.64285714	5.357142857	NA	75.86206897	24.13793103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.73684211	5.263157895	NA	NA	100	NA	NA	NA	NA	1	NA	1	NA	NA	53	3	NA	22	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	2	NA	NA	13	NA	NA	NA	NA
ora	116	100	NA	100	NA	NA	76.92307692	23.07692308	NA	54.54545455	45.45454545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.85365854	34.14634146	NA	NA	74.28571429	25.71428571	NA	100	NA	11	NA	3	NA	NA	30	9	NA	6	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	14	NA	NA	26	9	NA	2	NA
isi	111	NA	NA	NA	NA	NA	93.10344828	6.896551724	NA	93.33333333	6.666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.57142857	46.42857143	NA	NA	38.59649123	49.12280702	12.28070175	NA	NA	NA	NA	NA	NA	NA	27	2	NA	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	13	NA	NA	22	28	7	NA	NA
ima	105	100	NA	NA	NA	NA	44.44444444	55.55555556	NA	4.918032787	95.08196721	NA	NA	25	75	NA	100	100	NA	NA	NA	33.33333333	66.66666667	NA	NA	52.94117647	47.05882353	NA	NA	NA	2	NA	NA	NA	NA	8	10	NA	3	58	NA	NA	1	3	NA	3	1	NA	NA	NA	9	18	NA	NA	9	8	NA	NA	NA
ute	105	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.66666667	8.333333333	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	48	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	2	NA	NA	61	NA	NA	NA	NA
ila	103	NA	NA	NA	NA	NA	42.10526316	57.89473684	NA	42.85714286	57.14285714	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	60	40	NA	NA	38.0952381	61.9047619	NA	NA	NA	NA	NA	NA	NA	NA	8	11	NA	3	4	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	6	4	NA	NA	8	13	NA	NA	NA
asi	99	100	NA	100	NA	NA	100	NA	NA	50	50	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	56	44	NA	NA	9.090909091	90.90909091	NA	100	NA	1	NA	1	NA	NA	21	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	14	11	NA	NA	5	50	NA	1	NA
ogo	97	NA	NA	NA	NA	NA	60	40	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.08791209	87.91208791	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	3	2	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	80	NA	NA	NA	1	NA	1	NA
ido	96	NA	100	NA	NA	NA	35.29411765	64.70588235	NA	5.263157895	94.73684211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.58823529	79.41176471	NA	NA	84.61538462	15.38461538	NA	100	NA	NA	1	NA	NA	NA	6	11	NA	3	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	27	NA	NA	11	2	NA	1	NA
eno	92	100	NA	100	NA	NA	100	NA	NA	71.875	28.125	NA	NA	100	NA	NA	NA	100	NA	NA	NA	75	25	NA	NA	100	NA	NA	NA	NA	10	NA	3	NA	NA	25	NA	NA	23	9	NA	NA	1	NA	NA	NA	1	NA	NA	NA	30	10	NA	NA	4	NA	NA	NA	NA
ami	81	NA	NA	NA	NA	NA	100	NA	NA	60	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.5483871	6.451612903	NA	NA	5.128205128	92.30769231	2.564102564	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	2	NA	NA	2	36	1	NA	NA
emi	80	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	6.818181818	93.18181818	NA	NA	NA	1	NA	NA	NA	NA	10	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	3	41	NA	NA	NA
eto	79	NA	NA	NA	NA	NA	88.23529412	11.76470588	NA	90.47619048	9.523809524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	10	NA	NA	66.66666667	33.33333333	NA	100	NA	NA	NA	NA	NA	NA	30	4	NA	19	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	3	NA	NA	2	1	NA	1	NA
oro	78	NA	NA	NA	NA	NA	93.93939394	6.060606061	NA	55.55555556	44.44444444	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	90.90909091	9.090909091	NA	NA	84.61538462	15.38461538	NA	NA	NA	NA	NA	NA	NA	NA	31	2	NA	5	4	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	30	3	NA	NA	11	2	NA	NA	NA
imi	76	NA	NA	NA	NA	NA	66.66666667	33.33333333	NA	9.677419355	90.32258065	NA	NA	25	75	NA	NA	NA	NA	NA	NA	21.21212121	78.78787879	NA	NA	5.882352941	94.11764706	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	3	28	NA	NA	1	3	NA	NA	NA	NA	NA	NA	7	26	NA	NA	1	16	NA	NA	NA
eni	72	NA	NA	NA	NA	NA	100	NA	NA	68	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.68421053	26.31578947	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	15	NA	NA	17	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	10	NA	NA	8	NA	NA	1	NA
avi	69	NA	NA	NA	NA	NA	100	NA	NA	88.88888889	11.11111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	10	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	2	NA	NA	46	NA	NA	NA	NA
eti	68	NA	NA	NA	NA	NA	100	NA	NA	88.23529412	11.76470588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.11111111	8.888888889	NA	NA	75	25	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	15	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	4	NA	NA	3	1	NA	NA	NA
aci	63	NA	NA	NA	NA	NA	84.61538462	15.38461538	NA	63.63636364	36.36363636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.85185185	48.14814815	NA	NA	30.76923077	69.23076923	NA	NA	NA	NA	NA	NA	NA	NA	11	2	NA	14	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	13	NA	NA	4	9	NA	NA	NA
uri	63	NA	NA	NA	NA	NA	100	NA	NA	89.47368421	10.52631579	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	87.87878788	12.12121212	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	17	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	4	NA	NA	12	NA	NA	NA	NA
eta	62	NA	NA	100	NA	NA	93.75	6.25	NA	90.47619048	9.523809524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	78.57142857	21.42857143	NA	NA	NA	NA	NA	1	NA	NA	15	1	NA	19	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	11	3	NA	NA	NA
esa	60	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	33	NA	NA	NA	NA
uro	59	100	NA	NA	NA	NA	100	NA	NA	89.47368421	10.52631579	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.407407407	92.59259259	NA	NA	NA	87.5	12.5	NA	NA	NA	3	NA	NA	NA	NA	16	NA	NA	17	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	25	NA	NA	NA	7	1	NA	NA	NA
uso	57	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	26	NA	NA	NA	NA
ada	56	100	NA	NA	NA	NA	96.42857143	3.571428571	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	5	NA	NA	100	NA	NA	100	NA	2	NA	NA	NA	NA	27	1	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	1	NA	NA	10	NA	NA	3	NA
eso	55	100	NA	NA	NA	NA	66.66666667	33.33333333	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	4	2	NA	26	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	34	NA	NA	NA	NA
ogi	54	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.53846154	88.46153846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	46	NA	NA	NA	NA	NA	NA	NA
oti	54	NA	100	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.73684211	5.263157895	NA	NA	25	75	NA	NA	NA	NA	1	NA	NA	NA	10	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	1	NA	NA	6	18	NA	NA	NA
usa	54	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	22	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	19	NA	NA	NA	22	NA	NA	NA	NA
ovi	53	NA	100	NA	NA	NA	88.88888889	11.11111111	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.66666667	33.33333333	NA	NA	22.5	77.5	NA	NA	NA	NA	1	NA	NA	NA	8	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	NA	9	31	NA	NA	NA
ime	52	NA	100	NA	NA	NA	100	NA	NA	7.692307692	92.30769231	NA	NA	25	75	100	NA	NA	NA	NA	8.695652174	52.17391304	39.13043478	NA	11.11111111	88.88888889	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	2	24	NA	NA	1	3	1	NA	NA	NA	NA	2	12	9	NA	1	8	NA	NA	NA	NA
ula	50	NA	NA	NA	NA	NA	14.28571429	85.71428571	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.523809524	90.47619048	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	2	12	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	19	NA	NA	NA	14	NA	NA	NA
ota	49	NA	NA	NA	NA	NA	93.33333333	6.666666667	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	1	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	2	NA	NA	16	NA	NA	NA	NA
ago	48	NA	NA	NA	NA	NA	100	NA	NA	57.14285714	42.85714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.58823529	29.41176471	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	5	NA	NA	5	NA	NA	NA	NA
ala	48	NA	NA	NA	NA	NA	100	NA	NA	40	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.47368421	10.52631579	NA	NA	61.11111111	38.88888889	NA	100	NA	NA	NA	NA	NA	NA	18	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	2	NA	NA	11	7	NA	2	NA
alo	48	NA	NA	NA	NA	NA	25	75	NA	25	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.85714286	57.14285714	NA	NA	22.22222222	77.77777778	NA	NA	NA	NA	NA	NA	NA	NA	3	9	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	12	NA	NA	4	14	NA	NA	NA
ace	47	NA	NA	NA	NA	NA	80	20	NA	95	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	3	NA	19	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	7	NA	NA	NA	NA
omo	47	100	NA	100	NA	NA	86.66666667	13.33333333	NA	40	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.61290323	48.38709677	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	13	2	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	15	NA	NA	NA	NA	NA	NA	NA
ade	45	NA	NA	NA	NA	NA	31.25	68.75	NA	33.33333333	66.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.761904762	57.14285714	38.0952381	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	11	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	8	NA	NA	11	NA	NA	NA	NA
ede	45	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.30769231	7.692307692	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	1	NA	NA	26	NA	NA	NA	NA
isa	45	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	14	NA	NA	NA	NA
aco	44	NA	NA	NA	NA	NA	40	60	NA	18.75	81.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.66666667	83.33333333	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	4	6	NA	3	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	20	NA	NA	1	1	NA	NA	NA
ise	44	NA	NA	NA	NA	7.142857143	92.85714286	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	1	13	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	25	NA	NA	NA	NA
edi	42	100	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.36363636	13.63636364	NA	NA	100	NA	NA	NA	NA	1	NA	NA	NA	NA	10	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	3	NA	NA	10	NA	NA	NA	NA
ilo	42	NA	NA	NA	NA	NA	54.54545455	45.45454545	NA	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.85714286	57.14285714	NA	NA	23.52941176	76.47058824	NA	NA	NA	NA	NA	NA	NA	NA	6	5	NA	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	8	NA	NA	4	13	NA	NA	NA
oma	42	NA	NA	NA	NA	NA	88.88888889	11.11111111	NA	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.66666667	8.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	2	NA	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	2	NA	NA	NA	NA	NA	NA	NA
ame	41	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.43902439	97.56097561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	40	NA	NA	NA	NA	NA	NA	NA	NA
ega	41	NA	NA	NA	NA	NA	93.75	6.25	NA	50	50	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	85.71428571	14.28571429	NA	NA	90	10	NA	NA	NA	NA	NA	NA	NA	NA	15	1	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	12	2	NA	NA	18	2	NA	NA	NA
ema	41	NA	NA	NA	NA	NA	81.25	18.75	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.47619048	9.523809524	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	13	3	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	2	NA	NA	6	NA	NA	1	NA
ira	41	NA	NA	NA	NA	NA	73.68421053	26.31578947	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	25	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	14	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	NA	NA	17	NA	NA	1	NA
odi	41	NA	NA	NA	NA	NA	93.75	6.25	NA	60	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.5	37.5	NA	NA	50	50	NA	100	NA	NA	NA	NA	NA	NA	15	1	NA	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	9	NA	NA	1	1	NA	1	NA
usi	41	NA	NA	NA	NA	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	19	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	17	NA	NA	NA	NA
edo	39	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.71428571	14.28571429	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	NA	15	NA	NA	NA	NA
iro	39	NA	NA	NA	NA	NA	73.33333333	26.66666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.47619048	9.523809524	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	2	NA	NA	9	NA	NA	NA	NA
iso	39	100	NA	NA	NA	NA	91.66666667	8.333333333	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	3	NA	NA	NA	NA	11	1	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	15	NA	NA	NA	NA
