ending	%PULT_Tk	%APULT_Tk	nPULT_Tk	nAPULT_Tk
aai	100	0	1	0
aea	100	0	2	0
aia	100	0	742	0
aie	100	0	60	0
aio	100	0	1787	0
eai	100	0	2	0
eia	100	0	2	0
eio	100	0	1	0
iai	100	0	258	0
iao	100	0	67	0
iei	100	0	681	0
oia	100	0	544	0
oie	100	0	83	0
oii	100	0	1	0
oio	100	0	298	0
uai	100	0	203	0
uea	0	100	0	5
uee	0	100	0	3
uei	99.8540145985401	0.145985401459854	684	1
ueo	0	100	0	5
uia	100	0	43	0
uie	100	0	18	0
uii	100	0	18	0
uio	100	0	305	0
uoi	100	0	2943	0
