ending	B_%PULT_Tk	B_%APULT_Tk	C_%PULT_Tk	C_%APULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	I_%APULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%PULT_Tk	NU_%APULT_Tk	P_%PULT_Tk	P_%APULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	S_%PAPULT_Tk	V_%ULT_Tk	V_%PULT_Tk	V_%APULT_Tk	V_%PAPULT_Tk	X_%PULT_Tk	X_%APULT_Tk	B_nPULT_Tk	B_nAPULT_Tk	C_nPULT_Tk	C_nAPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	I_nAPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nPULT_Tk	NU_nAPULT_Tk	P_nPULT_Tk	P_nAPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	S_nPAPULT_Tk	V_nULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	V_nPAPULT_Tk	X_nPULT_Tk	X_nAPULT_Tk
ali	100	0	100	0	0	94.0789473684211	5.92105263157895	0	99.7951119566808	0.204888043319186	NA	NA	100	0	NA	NA	NA	NA	NA	0	95.9914320685434	4.00856793145655	0	0	68.4210526315789	31.5789473684211	0	NA	NA	80	0	1	0	0	143	9	0	6819	14	NA	NA	1751	0	NA	NA	NA	NA	NA	0	3137	131	0	0	13	6	0	NA	NA
alo	NA	NA	NA	NA	0	16.3636363636364	83.6363636363636	0	12.1951219512195	87.8048780487805	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57.9957356076759	42.0042643923241	0	0	37.5	62.5	0	NA	NA	NA	NA	NA	NA	0	9	46	0	5	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	272	197	0	0	12	20	0	NA	NA
ama	NA	NA	NA	NA	0	79.6747967479675	20.3252032520325	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.4871794871795	0.512820512820513	0	0	99.8357963875205	0.164203612479475	0	NA	NA	NA	NA	NA	NA	0	98	25	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	388	2	0	0	608	1	0	NA	NA
ame	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.89130434782609	95.1086956521739	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	700	0	0	NA	NA	NA	NA	NA	NA
ami	NA	NA	NA	NA	0	100	0	0	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.2268041237113	0.77319587628866	0	0	32	67.4285714285714	0.571428571428571	NA	NA	NA	NA	NA	NA	0	19	0	0	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	385	3	0	0	56	118	1	NA	NA
amo	NA	NA	NA	NA	0	29.4117647058824	70.5882352941177	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	83.0845771144279	16.9154228855721	0	0	99.9361430395913	0.0638569604086845	0	NA	NA	NA	NA	NA	NA	0	60	144	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	167	34	0	0	10955	7	0	NA	NA
amu	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ana	100	0	NA	NA	0	98.3067729083665	1.69322709163347	0	99.7291807718348	0.2708192281652	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.4518402505873	0.548159749412686	0	0	100	0	0	100	0	1	0	NA	NA	0	987	17	0	2946	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1270	7	0	0	64	0	0	5	0
ane	100	0	NA	NA	0	86.046511627907	13.953488372093	0	55.4754098360656	44.5245901639344	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	77.5271512113617	22.4728487886383	0	0	98.7755102040816	1.22448979591837	0	NA	NA	11	0	NA	NA	0	37	6	0	846	679	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	928	269	0	0	242	3	0	NA	NA
ani	100	0	NA	NA	0	97.0201577563541	2.97984224364592	0	84.8893685914733	15.1106314085267	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82.8669482576558	17.1330517423442	0	0	100	0	0	NA	NA	488	0	NA	NA	0	1107	34	0	1573	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3139	649	0	0	12	0	0	NA	NA
ano	96.1711711711712	3.82882882882883	NA	NA	0	93.2226091615323	6.77739083846772	0	99.5626366760387	0.437363323961262	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	93.6471779296381	6.35282207036193	0	0	0.0131989968762374	94.0956487306965	5.8911522724273	NA	NA	427	17	NA	NA	0	3480	253	0	3187	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3700	251	0	0	3	21387	1339	NA	NA
anu	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
apa	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.6153846153846	0.384615384615385	0	0	100	0	0	100	0	NA	NA	NA	NA	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	259	1	0	0	2	0	0	3	0
ape	NA	NA	NA	NA	0	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71.4285714285714	28.5714285714286	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	18	0	0	1	0	0	NA	NA
api	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	175	0	0	NA	NA	NA	NA	NA	NA
apo	100	0	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.7267759562842	0.273224043715847	0	NA	NA	NA	NA	NA	NA	11	0	NA	NA	0	18	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1095	3	0	NA	NA	NA	NA	NA	NA
ara	NA	NA	NA	NA	0	87.603305785124	12.396694214876	0	98.5111662531017	1.48883374689826	NA	NA	NA	NA	NA	NA	100	0	NA	0	98.0263157894737	1.97368421052632	0	0	100	0	0	100	0	NA	NA	NA	NA	0	742	105	0	397	6	NA	NA	NA	NA	NA	NA	3	0	NA	0	447	9	0	0	314	0	0	1	0
are	100	0	NA	NA	0	25.3164556962025	74.6835443037975	0	99.7416855020988	0.258314497901195	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.1553261379634	0.844673862036602	0	0	99.364021028337	0.635978971663034	0	NA	NA	1	0	NA	NA	0	60	177	0	3089	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2113	18	0	0	38747	248	0	NA	NA
ari	100	0	100	0	0	77.1621621621622	22.8378378378378	0	99.7345468335229	0.265453166477057	100	0	100	0	0	100	NA	NA	NA	0	85.8883248730965	14.1116751269036	0	0	100	0	0	100	0	420	0	108	0	0	571	169	0	2630	7	2	0	1	0	0	1	NA	NA	NA	0	2538	417	0	0	31	0	0	6	0
aro	100	0	NA	NA	0	55.1351351351351	44.8648648648649	0	98.6425339366516	1.35746606334842	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	36.4705882352941	63.5294117647059	0	0	100	0	0	NA	NA	40	0	NA	NA	0	408	332	0	654	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	248	432	0	0	14	0	0	NA	NA
aru	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	0	NA	NA	NA	NA	NA	NA
asa	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	15	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2887	0	0	0	63	0	0	NA	NA
ase	NA	NA	NA	NA	0	83.3333333333333	16.6666666666667	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	5	1	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1863	0	0	0	117	0	0	NA	NA
asi	100	0	100	0	0	100	0	0	0.233100233100233	99.7668997668998	NA	NA	0	100	NA	NA	NA	NA	NA	0	89.6367521367521	10.3632478632479	0	0	33.3333333333333	66.6666666666667	0	100	0	2032	0	7	0	0	58	0	0	1	428	NA	NA	0	1	NA	NA	NA	NA	NA	0	839	97	0	0	50	100	0	1	0
aso	NA	NA	NA	NA	0	86.7256637168142	13.2743362831858	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.9213217938631	0.0786782061369001	0	0	96.6292134831461	3.37078651685393	0	NA	NA	NA	NA	NA	NA	0	98	15	0	29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2540	2	0	0	86	3	0	NA	NA
ata	100	0	NA	NA	0	89.8395721925134	10.1604278074866	0	99.844840961986	0.155159038013964	NA	NA	100	0	NA	NA	NA	NA	NA	0	99.6684036001895	0.331596399810516	0	0	99.9950059928086	0	0.00499400719137036	NA	NA	16	0	NA	NA	0	168	19	0	5148	8	NA	NA	2	0	NA	NA	NA	NA	NA	0	4208	14	0	0	20023	0	1	NA	NA
ate	100	0	NA	NA	0	69.5652173913043	30.4347826086957	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0461041954817888	99.0779160903642	0.875979714153988	0	0	100	0	0	NA	NA	1	0	NA	NA	0	128	56	0	2186	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2149	19	0	0	8200	0	0	NA	NA
ati	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	99.4013132483584	0.59868675164156	0	0	99.8921639108555	0.1078360891445	0	100	0	NA	NA	NA	NA	0	345	0	0	3531	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5147	31	0	0	13895	15	0	1	0
ato	100	0	NA	NA	0	100	0	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	95.3027789299046	4.6972210700954	0	0	100	0	0	NA	NA	1	0	NA	NA	0	732	0	0	6437	0	22	0	NA	NA	NA	NA	NA	NA	NA	0	9191	453	0	0	63347	0	0	NA	NA
atu	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ava	NA	NA	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	98	0	0	122	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	0	0	7211	0	0	NA	NA
ave	100	0	NA	NA	0	100	0	0	99.6923076923077	0.307692307692308	100	0	NA	NA	NA	NA	NA	NA	NA	0	99.7402597402597	0.25974025974026	0	0	100	0	0	NA	NA	1	0	NA	NA	0	34	0	0	324	1	14	0	NA	NA	NA	NA	NA	NA	NA	0	384	1	0	0	1	0	0	NA	NA
avi	NA	NA	NA	NA	0	100	0	0	98.6254295532646	1.3745704467354	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	98.5815602836879	1.41843971631206	0	0	100	0	0	NA	NA	NA	NA	NA	NA	0	40	0	0	287	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	278	4	0	0	80	0	0	NA	NA
