4lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
abba	7.547169811	66.03773585	26.41509434	NA	4	35	14	NA
abbe	25	75	NA	NA	1	3	NA	NA
abbi	NA	100	NA	NA	NA	1	NA	NA
abbo	NA	100	NA	NA	NA	5	NA	NA
abbr	9.090909091	63.63636364	27.27272727	NA	1	7	3	NA
abet	NA	100	NA	NA	NA	2	NA	NA
abil	20	NA	80	NA	1	NA	4	NA
abis	NA	100	NA	NA	NA	2	NA	NA
abit	3.225806452	70.96774194	19.35483871	6.451612903	1	22	6	2
abol	25	50	25	NA	1	2	1	NA
acac	NA	100	NA	NA	NA	2	NA	NA
acca	6.666666667	76.66666667	16.66666667	NA	2	23	5	NA
acce	8.771929825	70.1754386	21.05263158	NA	5	40	12	NA
acch	9.090909091	81.81818182	9.090909091	NA	1	9	1	NA
acci	5.882352941	70.58823529	23.52941176	NA	1	12	4	NA
acco	8.130081301	67.4796748	21.13821138	3.25203252	10	83	26	4
accr	NA	NA	100	NA	NA	NA	4	NA
accu	9.523809524	61.9047619	28.57142857	NA	2	13	6	NA
acet	NA	100	NA	NA	NA	1	NA	NA
acid	NA	NA	100	NA	NA	NA	3	NA
acqu	6.25	71.875	21.875	NA	2	23	7	NA
acro	NA	100	NA	NA	NA	2	NA	NA
acut	NA	100	NA	NA	NA	4	NA	NA
adag	14.28571429	71.42857143	14.28571429	NA	1	5	1	NA
adat	5.555555556	72.22222222	22.22222222	NA	1	13	4	NA
adde	8.333333333	83.33333333	8.333333333	NA	1	10	1	NA
addi	NA	100	NA	NA	NA	4	NA	NA
addo	4.761904762	90.47619048	4.761904762	NA	1	19	1	NA
adeg	NA	100	NA	NA	NA	3	NA	NA
ades	NA	100	NA	NA	NA	1	NA	NA
adir	NA	100	NA	NA	NA	3	NA	NA
adop	10	50	30	10	1	5	3	1
ador	NA	78.57142857	21.42857143	NA	NA	11	3	NA
adot	20	60	20	NA	1	3	1	NA
adri	NA	NA	100	NA	NA	NA	1	NA
adul	NA	100	NA	NA	NA	4	NA	NA
aere	NA	NA	100	NA	NA	NA	4	NA
aero	NA	100	NA	NA	NA	4	NA	NA
affa	5.405405405	83.78378378	10.81081081	NA	2	31	4	NA
affe	5.405405405	78.37837838	16.21621622	NA	2	29	6	NA
affi	17.39130435	65.2173913	13.04347826	4.347826087	4	15	3	1
affl	NA	75	25	NA	NA	3	1	NA
affo	NA	80	20	NA	NA	16	4	NA
affr	13.04347826	73.91304348	13.04347826	NA	3	17	3	NA
afri	NA	100	NA	NA	NA	3	NA	NA
agen	NA	100	NA	NA	NA	4	NA	NA
agge	NA	100	NA	NA	NA	2	NA	NA
aggi	15.78947368	60.52631579	23.68421053	NA	6	23	9	NA
aggr	NA	87.5	12.5	NA	NA	7	1	NA
aggu	NA	100	NA	NA	NA	1	NA	NA
agil	NA	NA	100	NA	NA	NA	3	NA
agio	NA	100	NA	NA	NA	2	NA	NA
agir	NA	87.5	12.5	NA	NA	7	1	NA
agit	6.666666667	73.33333333	13.33333333	6.666666667	1	11	2	1
agli	NA	100	NA	NA	NA	1	NA	NA
agne	NA	100	NA	NA	NA	2	NA	NA
agos	NA	100	NA	NA	NA	3	NA	NA
agri	NA	50	50	NA	NA	3	3	NA
agru	NA	100	NA	NA	NA	1	NA	NA
aguz	NA	100	NA	NA	NA	2	NA	NA
ahhh	NA	100	NA	NA	NA	1	NA	NA
ahia	NA	100	NA	NA	NA	1	NA	NA
ahim	100	NA	NA	NA	1	NA	NA	NA
aiuo	NA	100	NA	NA	NA	2	NA	NA
aiut	6.52173913	65.2173913	28.26086957	NA	3	30	13	NA
alan	NA	100	NA	NA	NA	1	NA	NA
alat	NA	100	NA	NA	NA	3	NA	NA
alba	NA	100	NA	NA	NA	1	NA	NA
albe	NA	66.66666667	33.33333333	NA	NA	4	2	NA
albu	NA	100	NA	NA	NA	1	NA	NA
alco	NA	100	NA	NA	NA	1	NA	NA
alcu	20	80	NA	NA	1	4	NA	NA
alfa	NA	100	NA	NA	NA	1	NA	NA
alga	NA	100	NA	NA	NA	2	NA	NA
alim	9.090909091	72.72727273	18.18181818	NA	1	8	2	NA
alla	12.5	75	12.5	NA	3	18	3	NA
alle	NA	90.32258065	9.677419355	NA	NA	28	3	NA
alli	NA	100	NA	NA	NA	6	NA	NA
allo	10	70	20	NA	2	14	4	NA
allu	6.25	75	18.75	NA	1	12	3	NA
alme	NA	100	NA	NA	NA	1	NA	NA
alpi	NA	100	NA	NA	NA	4	NA	NA
alqu	NA	100	NA	NA	NA	2	NA	NA
alta	NA	100	NA	NA	NA	3	NA	NA
alte	NA	100	NA	NA	NA	2	NA	NA
alto	NA	66.66666667	33.33333333	NA	NA	8	4	NA
altr	NA	100	NA	NA	NA	10	NA	NA
altu	NA	100	NA	NA	NA	2	NA	NA
alun	NA	100	NA	NA	NA	4	NA	NA
alve	NA	100	NA	NA	NA	2	NA	NA
alza	7.407407407	62.96296296	29.62962963	NA	2	17	8	NA
aman	NA	100	NA	NA	NA	2	NA	NA
amar	4.347826087	82.60869565	13.04347826	NA	1	19	3	NA
amat	NA	80	20	NA	NA	4	1	NA
ambi	NA	100	NA	NA	NA	9	NA	NA
ambu	NA	100	NA	NA	NA	3	NA	NA
amer	NA	100	NA	NA	NA	4	NA	NA
amic	NA	85.71428571	14.28571429	NA	NA	12	2	NA
amma	4.545454545	72.72727273	22.72727273	NA	1	16	5	NA
amme	6.666666667	60	33.33333333	NA	1	9	5	NA
ammi	NA	85.71428571	14.28571429	NA	NA	12	2	NA
ammo	20	40	40	NA	1	2	2	NA
ammu	11.11111111	55.55555556	33.33333333	NA	1	5	3	NA
amor	33.33333333	66.66666667	NA	NA	1	2	NA	NA
ampi	NA	100	NA	NA	NA	4	NA	NA
anal	NA	75	25	NA	NA	3	1	NA
anat	NA	20	80	NA	NA	1	4	NA
ance	NA	100	NA	NA	NA	2	NA	NA
anch	NA	100	NA	NA	NA	1	NA	NA
anco	33.33333333	33.33333333	33.33333333	NA	1	1	1	NA
anda	7.01754386	61.40350877	26.31578947	5.263157895	4	35	15	3
anel	NA	100	NA	NA	NA	2	NA	NA
anem	NA	NA	100	NA	NA	NA	2	NA
anfi	NA	100	NA	NA	NA	2	NA	NA
anfo	NA	NA	100	NA	NA	NA	2	NA
ange	NA	40	60	NA	NA	2	3	NA
ango	NA	50	50	NA	NA	2	2	NA
angu	NA	100	NA	NA	NA	2	NA	NA
anid	NA	100	NA	NA	NA	1	NA	NA
anim	7.142857143	64.28571429	28.57142857	NA	1	9	4	NA
anit	NA	NA	100	NA	NA	NA	1	NA
anne	NA	100	NA	NA	NA	5	NA	NA
anno	10	80	10	NA	1	8	1	NA
annu	17.85714286	60.71428571	21.42857143	NA	5	17	6	NA
ansi	NA	100	NA	NA	NA	6	NA	NA
ante	NA	100	NA	NA	NA	7	NA	NA
anti	5.263157895	47.36842105	47.36842105	NA	1	9	9	NA
anzi	16.66666667	83.33333333	NA	NA	1	5	NA	NA
aper	NA	100	NA	NA	NA	6	NA	NA
apos	NA	NA	100	NA	NA	NA	2	NA
appa	5.769230769	78.84615385	15.38461538	NA	3	41	8	NA
appe	NA	73.68421053	26.31578947	NA	NA	14	5	NA
appi	NA	100	NA	NA	NA	1	NA	NA
appl	NA	70	30	NA	NA	7	3	NA
appo	9.375	50	40.625	NA	3	16	13	NA
appr	11.11111111	71.11111111	17.77777778	NA	5	32	8	NA
appu	NA	100	NA	NA	NA	7	NA	NA
apri	12.12121212	66.66666667	21.21212121	NA	4	22	7	NA
aqui	NA	50	50	NA	NA	2	2	NA
arab	NA	NA	100	NA	NA	NA	3	NA
aran	NA	100	NA	NA	NA	6	NA	NA
arbi	NA	NA	100	NA	NA	NA	2	NA
arbu	NA	100	NA	NA	NA	2	NA	NA
arch	NA	50	50	NA	NA	2	2	NA
