1lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
a	13.7096774193548	86.2903225806452	10.252808988764	79.9157303370787	9.8314606741573	5.22388059701492	75.1865671641791	19.3097014925373	0.279850746268657	2.35756385068762	58.5461689587426	37.328094302554	1.76817288801572	NA	36.3636363636364	62.1212121212121	1.51515151515152	NA	100	NA	17	107	73	569	70	56	806	207	3	12	298	190	9	NA	24	41	1	NA	4	NA
b	11.8483412322275	88.1516587677725	3.42679127725857	82.8660436137072	13.7071651090343	0.628930817610063	67.2955974842767	31.4465408805031	0.628930817610063	NA	62.5	31.25	6.25	NA	NA	NA	NA	NA	NA	NA	25	186	11	266	44	1	107	50	1	NA	10	5	1	NA	NA	NA	NA	NA	NA	NA
c	13.3514986376022	86.6485013623978	6.74789128397376	78.6316776007498	14.6204311152765	3.76106194690266	71.1283185840708	24.1150442477876	0.995575221238938	2.12765957446809	55.7446808510638	38.7234042553192	3.40425531914894	NA	42.8571428571429	57.1428571428571	NA	NA	100	100	49	318	72	839	156	34	643	218	9	5	131	91	8	NA	18	24	NA	NA	5	1
d	11.4457831325301	88.5542168674699	6.01336302895323	78.619153674833	15.3674832962138	4.29184549356223	65.6652360515021	28.5407725321888	1.50214592274678	0.609756097560976	67.0731707317073	28.6585365853659	3.65853658536585	NA	25	70	5	100	NA	NA	19	147	27	353	69	20	306	133	7	1	110	47	6	NA	5	14	1	1	NA	NA
e	8.69565217391304	91.304347826087	5.76923076923077	77.4038461538462	16.8269230769231	3.77358490566038	68.3018867924528	27.5471698113208	0.377358490566038	3.06122448979592	63.265306122449	30.6122448979592	3.06122448979592	NA	68.75	31.25	NA	NA	100	NA	4	42	12	161	35	10	181	73	1	3	62	30	3	NA	11	5	NA	NA	2	NA
f	9.23076923076923	90.7692307692308	3.4324942791762	79.6338672768879	16.9336384439359	1.99203187250996	61.7529880478088	35.8565737051793	0.398406374501992	1.81818181818182	45.4545454545455	49.0909090909091	3.63636363636364	NA	28.5714285714286	71.4285714285714	NA	NA	100	NA	24	236	15	348	74	5	155	90	1	1	25	27	2	NA	2	5	NA	NA	1	NA
F	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g	9.47867298578199	90.521327014218	4.72972972972973	81.4189189189189	13.8513513513514	0.540540540540541	68.1081081081081	30.2702702702703	1.08108108108108	2.22222222222222	46.6666666666667	48.8888888888889	2.22222222222222	NA	NA	100	NA	NA	NA	NA	20	191	14	241	41	1	126	56	2	1	21	22	1	NA	NA	2	NA	NA	NA	NA
h	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i	15.3846153846154	84.6153846153846	12.2676579925651	82.8996282527881	4.83271375464684	5.50161812297735	79.2880258899676	14.4012944983819	0.809061488673139	0.344827586206897	67.5862068965517	31.0344827586207	1.03448275862069	NA	28.7878787878788	69.6969696969697	1.51515151515152	20	80	NA	2	11	33	223	13	34	490	89	5	1	196	90	3	NA	19	46	1	1	4	NA
