1lett	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
a	6.36839983877469	72.4707779121322	20.6368399838775	0.523982265215639	158	1798	512	13
b	5.26315789473684	80.3698435277383	14.0825035561878	0.284495021337127	37	565	99	2
c	6.11153552330023	74.3697478991597	18.8693659281895	0.649350649350649	160	1947	494	17
d	5.30482977038796	72.763262074426	20.8234362628662	1.10847189231987	67	919	263	14
e	4.5958795562599	71.7908082408875	22.9793977812995	0.63391442155309	29	453	145	4
f	4.46428571428571	75.6944444444444	19.5436507936508	0.297619047619048	45	763	197	3
F	NA	100	NA	NA	NA	4	NA	NA
g	4.90463215258856	78.2016348773842	16.4850136239782	0.408719346049046	36	574	121	3
h	33.3333333333333	66.6666666666667	NA	NA	1	2	NA	NA
i	5.55555555555556	74.5238095238095	19.2063492063492	0.714285714285714	70	939	242	9
j	NA	100	NA	NA	NA	2	NA	NA
l	4.65116279069767	72.5913621262459	21.5946843853821	1.16279069767442	28	437	130	7
m	4.40900562851782	73.0769230769231	21.6697936210131	0.844277673545966	47	779	231	9
n	5.64971751412429	78.5310734463277	15.819209039548	NA	20	278	56	NA
o	4.31965442764579	75.8099352051836	19.438444924406	0.431965442764579	20	351	90	2
p	5.4875283446712	72.2902494331066	21.3605442176871	0.861678004535147	121	1594	471	19
q	12.987012987013	81.8181818181818	5.19480519480519	NA	10	63	4	NA
r	7.7144226161955	70.9631049353139	20.9391471011021	0.383325347388596	161	1481	437	8
s	5.94979857452743	74.1555624418965	19.6467307096374	0.247908273938643	192	2393	634	8
t	4.98084291187739	74.3295019157088	20.2107279693487	0.478927203065134	52	776	211	5
u	8.87096774193548	66.9354838709677	24.1935483870968	NA	22	166	60	NA
v	5.33707865168539	74.7191011235955	19.5224719101124	0.421348314606742	38	532	139	3
V	NA	80	20	NA	NA	4	1	NA
z	2.5	75	22.5	NA	1	30	9	NA
