4lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
abba	NA	NA	24.32432432	75.67567568	0	3.25203252	88.61788618	8.130081301	0	1.666666667	90	8.333333333	0	0	0	100	0	NA	NA	NA	NA	NA	9	28	0	4	109	10	0	1	54	5	0	0	0	8	0	NA	NA	NA
abbe	NA	NA	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbi	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
abbo	NA	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	24	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbr	NA	NA	33.33333333	66.66666667	0	0	92.30769231	7.692307692	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8	0	0	12	1	0	0	0	4	0	NA	NA	NA	NA	NA	NA	NA
abet	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abil	NA	NA	0	0	100	100	0	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	15	7	0	0	0	0	0	4	0	NA	NA	NA	NA	NA	NA	NA
abis	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abit	NA	NA	0.934579439	1.869158879	97.19626168	0	91.61290323	0	8.387096774	0	49.23076923	50.76923077	0	0	100	0	0	NA	NA	NA	NA	NA	1	2	104	0	142	0	13	0	32	33	0	0	6	0	0	NA	NA	NA
abol	NA	NA	100	0	0	0	100	0	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	0	3	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
acac	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
