4lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
asin	0	7.14285714285714	92.8571428571429	0	0	2	26	0
aspe	1.78571428571429	88.6904761904762	9.52380952380952	0	6	298	32	0
aspi	12.5	75	12.5	0	1	6	1	0
aspr	0	100	0	0	0	7	0	0
assa	2.38095238095238	94.4444444444444	3.17460317460317	0	3	119	4	0
asse	2.22222222222222	93.3333333333333	4.44444444444444	0	1	42	2	0
assi	7.05882352941176	74.1176470588235	18.8235294117647	0	6	63	16	0
asso	0	89.3129770992366	10.6870229007634	0	0	117	14	0
assu	0	78.0487804878049	21.9512195121951	0	0	32	9	0
astr	0	72.6315789473684	27.3684210526316	0	0	69	26	0
astu	0	100	0	0	0	19	0	0
atle	0	73.6842105263158	26.3157894736842	0	0	14	5	0
atmo	0	78.5714285714286	21.4285714285714	0	0	33	9	0
atom	0	0	100	0	0	0	22	0
atri	0	100	0	0	0	9	0	0
atro	0	100	0	0	0	5	0	0
atta	4	85	11	0	4	85	11	0
atte	0.518134715025907	93.5233160621762	5.95854922279793	0	2	361	23	0
atti	33.8709677419355	26.6129032258064	39.5161290322581	0	42	33	49	0
atto	0	93.2432432432432	6.75675675675676	0	0	69	5	0
attr	4.7008547008547	88.4615384615385	6.83760683760684	0	11	207	16	0
attu	0	98.1132075471698	1.88679245283019	0	0	52	1	0
augu	6	78	16	0	3	39	8	0
aume	4.65116279069767	83.7209302325581	11.6279069767442	0	2	36	5	0
auro	0	100	0	0	0	6	0	0
aust	0	100	0	0	0	19	0	0
aute	0	0	100	0	0	0	14	0
auti	0	100	0	0	0	11	0	0
auto	7.6530612244898	42.3469387755102	50	0	15	83	98	0
autu	0	100	0	0	0	48	0	0
avan	1.19760479041916	92.2155688622755	6.58682634730539	0	2	154	11	0
avar	0	100	0	0	0	10	0	0
aven	0	100	0	0	0	10	0	0
aver	0.0320821302534488	91.3699069618223	8.59801090792429	0	1	2848	268	0
avor	0	100	0	0	0	6	0	0
avve	3.21543408360129	95.8199356913183	0.964630225080386	0	10	298	3	0
avvi	20.3488372093023	62.2093023255814	17.4418604651163	0	35	107	30	0
avvo	1.81818181818182	87.2727272727273	10.9090909090909	0	1	48	6	0
azie	0	100	0	0	0	3	0	0
azio	0	100	0	0	0	69	0	0
azzu	0	98.2142857142857	1.78571428571429	0	0	110	2	0
babb	0	100	0	0	0	116	0	0
babi	0	100	0	0	0	7	0	0
baby	0	100	0	0	0	3	0	0
bacc	0	100	0	0	0	39	0	0
baci	11.9047619047619	78.5714285714286	9.52380952380952	0	5	33	4	0
baco	0	100	0	0	0	1	0	0
bada	0	82.3529411764706	17.6470588235294	0	0	14	3	0
badi	0	100	0	0	0	6	0	0
baff	0	100	0	0	0	18	0	0
baga	0	100	0	0	0	19	0	0
bagn	1.21951219512195	97.5609756097561	1.21951219512195	0	1	80	1	0
balb	25	75	0	0	2	6	0	0
balc	0	100	0	0	0	21	0	0
bald	0	100	0	0	0	2	0	0
bale	0	100	0	0	0	47	0	0
bali	0	100	0	0	0	4	0	0
ball	1.19047619047619	94.0476190476191	4.76190476190476	0	1	79	4	0
balz	27.7777777777778	61.1111111111111	11.1111111111111	0	10	22	4	0
bamb	0	95.935960591133	4.06403940886699	0	0	779	33	0
bana	0	95.6521739130435	4.34782608695652	0	0	22	1	0
banc	0	100	0	0	0	119	0	0
band	0	100	0	0	0	72	0	0
bara	0	20	80	0	0	5	20	0
barb	0	78.6666666666667	21.3333333333333	0	0	59	16	0
barc	1.04166666666667	98.9583333333333	0	0	1	95	0	0
