2lett	S2_%ULT_Tk	S2_%PULT_Tk	S3_%ULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%ULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S5_%PAPULT_Tk	S6_%ULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S6_%PAPULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nULT_Tk	S2_nPULT_Tk	S3_nULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S5_nPAPULT_Tk	S6_nULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S6_nPAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
aa	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	31	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ab	NA	NA	8.133971292	34.92822967	56.93779904	3.353658537	89.32926829	3.353658537	3.963414634	0.724637681	65.2173913	34.05797101	0	0	42.85714286	57.14285714	0	NA	NA	NA	NA	NA	17	73	119	11	293	11	13	1	90	47	0	0	6	8	0	NA	NA	NA
ac	0	100	4.324324324	92.61261261	3.063063063	5.995203837	69.54436451	24.46043165	0	5.882352941	72.05882353	15.44117647	6.617647059	0	56.52173913	43.47826087	0	NA	NA	NA	0	611	24	514	17	25	290	102	0	8	98	21	9	0	13	10	0	NA	NA	NA
ad	NA	NA	1.115241636	98.88475836	0	15.51724138	68.10344828	16.37931034	0	0	94.7761194	4.47761194	0.746268657	0	60	40	0	NA	NA	NA	NA	NA	6	532	0	18	79	19	0	0	127	6	1	0	3	2	0	NA	NA	NA
ae	NA	NA	NA	NA	NA	0	0	100	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	72	0	0	46	0	0	NA	NA	NA	NA	NA	NA	NA
af	10	90	19.81132075	80.18867925	0	2.010050251	95.47738693	2.512562814	0	0	66.12903226	33.87096774	0	0	0	66.66666667	33.33333333	0	100	NA	1	9	42	170	0	4	190	5	0	0	41	21	0	0	0	2	1	0	1	NA
ag	0	100	3.20855615	88.77005348	8.021390374	4.310344828	64.65517241	27.5862069	3.448275862	2.272727273	84.09090909	13.63636364	0	NA	NA	NA	NA	NA	NA	NA	0	40	6	166	15	5	75	32	4	1	37	6	0	NA	NA	NA	NA	NA	NA	NA
ah	0	100	100	0	0	NA	NA	NA	NA	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	0	64	21	0	0	NA	NA	NA	NA	0	22	0	0	NA	NA	NA	NA	NA	NA	NA
ai	0	100	3.555555556	96.44444444	0	10	78	12	0	0	60.86956522	39.13043478	0	NA	NA	NA	NA	NA	NA	NA	0	30	8	217	0	15	117	18	0	0	28	18	0	NA	NA	NA	NA	NA	NA	NA
al	2.835175396	97.1648246	0.523560209	81.26817917	18.20826062	2.5	85	12.5	0	0.900900901	88.28828829	10.81081081	0	0	55.55555556	44.44444444	0	NA	NA	NA	59	2022	9	1397	313	7	238	35	0	1	98	12	0	0	5	4	0	NA	NA	NA
am	6.756756757	93.24324324	0.657174151	97.8094195	1.533406353	0.581395349	87.20930233	12.20930233	0	0	74.24242424	25.75757576	0	0	100	0	0	NA	NA	NA	5	69	6	893	14	1	150	21	0	0	49	17	0	0	20	0	0	NA	NA	NA
an	7.035351768	92.96464823	0.981354269	84.73994112	14.27870461	2.25464191	79.31034483	18.43501326	0	0	14.51612903	62.90322581	22.58064516	NA	NA	NA	NA	NA	NA	NA	201	2656	20	1727	291	17	598	139	0	0	9	39	14	NA	NA	NA	NA	NA	NA	NA
ao	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ap	25.54744526	74.45255474	1.015965167	96.80696662	2.177068215	3.503184713	71.33757962	25.15923567	0	0.746268657	72.3880597	26.86567164	0	0	59.09090909	40.90909091	0	NA	NA	NA	35	102	7	667	15	11	224	79	0	1	97	36	0	0	13	9	0	NA	NA	NA
aq	NA	NA	0	0	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	28	0	16	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ar	0.251889169	99.74811083	8.202443281	75.91623037	15.88132635	3.728813559	79.49152542	16.77966102	0	0.588235294	70	28.23529412	1.176470588	0	0	100	0	NA	NA	NA	1	396	47	435	91	22	469	99	0	1	119	48	2	0	0	5	0	NA	NA	NA
as	0	100	2.84463895	91.46608315	5.689277899	1.937984496	81.78294574	16.27906977	0	0	62.37623762	37.62376238	0	0	93.75	6.25	0	NA	NA	NA	0	64	13	418	26	10	422	84	0	0	63	38	0	0	30	2	0	NA	NA	NA
at	0	100	1.449275362	84.29951691	14.25120773	10.19607843	81.37254902	8.431372549	0	0.81300813	76.42276423	22.76422764	0	0	0	100	0	NA	NA	NA	0	32	6	349	59	52	415	43	0	1	94	28	0	0	0	11	0	NA	NA	NA
au	0	100	2.242152466	79.37219731	18.38565022	16.85393258	60.6741573	22.47191011	0	0	1.851851852	98.14814815	0	0	83.33333333	16.66666667	0	0	100	NA	0	112	5	177	41	15	54	20	0	0	1	53	0	0	10	2	0	0	9	NA
av	17.53731343	82.46268657	0.81532817	97.88014676	1.304525071	4.118616145	54.03624382	41.84514003	0	2.830188679	79.24528302	17.9245283	0	0	7.142857143	92.85714286	0	NA	NA	NA	282	1326	20	2401	32	25	328	254	0	3	84	19	0	0	1	13	0	NA	NA	NA
az	NA	NA	0	100	0	0	100	0	0	0	33.33333333	66.66666667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	173	0	0	8	0	0	0	1	2	0	NA	NA	NA	NA	NA	NA	NA
ba	2.018348624	97.98165138	1.508916324	91.4951989	6.995884774	0	66.44736842	28.94736842	4.605263158	0	57.14285714	42.85714286	0	NA	NA	NA	NA	NA	NA	NA	22	1068	22	1334	102	0	101	44	7	0	4	3	0	NA	NA	NA	NA	NA	NA	NA
be	1.946647441	98.05335256	0	97.23320158	2.766798419	0	24.24242424	75.75757576	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	27	1360	0	246	7	0	48	150	0	0	14	0	0	NA	NA	NA	NA	NA	NA	NA
bi	1.608579088	98.39142091	0.622406639	98.54771784	0.829875519	13.39285714	83.03571429	3.571428571	0	0	80	20	0	NA	NA	NA	NA	NA	NA	NA	6	367	3	475	4	15	93	4	0	0	8	2	0	NA	NA	NA	NA	NA	NA	NA
bl	7.692307692	92.30769231	0	100	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	12	0	11	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
bo	3.398926655	96.60107335	3.614457831	96.38554217	0	0	100	0	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	19	540	6	160	0	0	22	0	0	0	4	0	0	NA	NA	NA	NA	NA	NA	NA
br	0.818330606	99.18166939	6.4	62.4	31.2	0	51.47058824	48.52941176	0	0	50	50	0	NA	NA	NA	NA	NA	NA	NA	5	606	8	78	39	0	35	33	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA
bu	2.488335925	97.51166407	1.142857143	89.14285714	9.714285714	0	82.85714286	17.14285714	0	0	0	0	100	NA	NA	NA	NA	NA	NA	NA	16	627	2	156	17	0	29	6	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA
ca	3.956478734	96.04352127	2.097661623	89.33975241	8.56258597	5.094339623	75.37735849	19.43396226	0.094339623	1.162790698	62.79069767	36.04651163	0	0	12.5	87.5	0	0	100	NA	120	2913	61	2598	249	54	799	206	1	1	54	31	0	0	9	63	0	0	1	NA
ce	2.826086957	97.17391304	1.91740413	83.03834808	15.04424779	0	63.11787072	36.88212928	0	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	26	894	13	563	102	0	166	97	0	0	13	0	0	NA	NA	NA	NA	NA	NA	NA
ch	15.06696429	84.93303571	3.773584906	61.40651801	34.81989708	0	31.66666667	66.66666667	1.666666667	0	0	80	20	NA	NA	NA	NA	NA	NA	NA	135	761	22	358	203	0	57	120	3	0	0	4	1	NA	NA	NA	NA	NA	NA	NA
ci	40.7734057	59.2265943	11.03117506	71.46282974	17.5059952	0	89.58333333	8.333333333	2.083333333	0	84.7826087	15.2173913	0	NA	NA	NA	NA	0	100	NA	601	873	46	298	73	0	172	16	4	0	39	7	0	NA	NA	NA	NA	0	7	NA
cl	0	100	0	80.43478261	19.56521739	0	0	100	0	0	100	0	0	0	100	0	0	NA	NA	NA	0	155	0	37	9	0	0	11	0	0	16	0	0	0	2	0	0	NA	NA	NA
co	19.18725811	80.81274189	4.551433833	87.79268614	7.655880032	3.917253521	79.66549296	16.06514085	0.352112676	0.841750842	71.88552189	23.56902357	3.703703704	0	61.86440678	38.13559322	0	NA	NA	100	1289	5429	173	3337	291	89	1810	365	8	5	427	140	22	0	73	45	0	NA	NA	16
cr	4.777070064	95.22292994	3.073286052	63.59338061	33.33333333	0	80.20833333	19.79166667	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	299	13	269	141	0	77	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cu	1.741293532	98.25870647	0.544959128	74.11444142	25.34059946	33.33333333	58.33333333	8.333333333	0	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	14	790	2	272	93	32	56	8	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA
