2lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
aa	0	100	0	0	0	31	0	0
ab	4.20899854862119	67.0537010159652	26.8505079825835	1.88679245283019	29	462	185	13
ac	3.27210103329506	87.6004592422503	8.61079219288175	0.516647531572905	57	1526	150	9
ad	3.02648171500631	93.4426229508197	3.40479192938209	0.126103404791929	24	741	27	1
ae	0	38.9830508474576	61.0169491525424	0	0	46	72	0
af	9.65092402464066	84.1889117043121	5.95482546201232	0.205338809034908	47	410	29	1
ag	3.10077519379845	82.1705426356589	13.6950904392765	1.03359173126615	12	318	53	4
ah	19.6261682242991	80.3738317757009	0	0	21	86	0	0
ai	5.09977827050998	86.9179600886918	7.98226164079823	0	23	392	36	0
al	1.80952380952381	89.5238095238095	8.66666666666667	0	76	3760	364	0
am	0.963855421686747	94.859437751004	4.17670682730924	0	12	1181	52	0
an	4.16739625284539	87.375240763439	8.21222202766591	0.245140956049729	238	4990	469	14
ao	0	100	0	0	0	13	0	0
ap	4.16666666666667	85.108024691358	10.7253086419753	0	54	1103	139	0
aq	0	36.3636363636364	63.6363636363636	0	0	16	28	0
ar	4.09221902017291	81.7867435158501	14.0057636887608	0.115273775216138	71	1419	243	2
as	1.96581196581197	85.2136752136752	12.8205128205128	0	23	997	150	0
at	5.41284403669725	81.651376146789	12.9357798165138	0	59	890	141	0
au	4.00801603206413	70.9418837675351	25.0501002004008	0	20	354	125	0
av	6.8922305764411	86.4661654135338	6.64160401002506	0	330	4140	318	0
az	0	98.9130434782609	1.08695652173913	0	0	182	2	0
ba	1.62541558921315	92.6117473217584	5.50424824528999	0.258588843738456	44	2507	149	7
be	1.45788336933045	90.0647948164147	8.47732181425486	0	27	1668	157	0
bi	2.45649948822927	96.5199590583419	1.02354145342886	0	24	943	10	0
bl	4	92	4	0	1	23	1	0
bo	3.3288948069241	96.6711051930759	0	0	25	726	0	0
br	1.61290322580645	89.3300248138958	9.05707196029777	0	13	720	73	0
bu	2.10772833723653	95.0819672131148	2.69320843091335	0.117096018735363	18	812	23	1
ca	3.29608938547486	89.0083798882682	7.68156424581006	0.0139664804469274	236	6373	550	1
ce	2.08110992529349	87.2998932764141	10.6189967982924	0	39	1636	199	0
ch	9.43509615384615	70.6730769230769	19.6514423076923	0.240384615384615	157	1176	327	4
ci	30.2902621722846	64.7003745318352	4.82209737827715	0.187265917602996	647	1382	103	4
cl	0	91.304347826087	8.69565217391304	0	0	210	20	0
co	11.5097270508174	82.0474887195799	6.22087432502404	0.221909904578741	1556	11092	841	30
cr	3.36134453781513	77.4309723889556	19.2076830732293	0	28	645	160	0
cu	3.78548895899054	88.1703470031546	8.04416403785489	0	48	1118	102	0
da	3.2156862745098	90.1176470588235	6.43137254901961	0.235294117647059	41	1149	82	3
de	1.17428924598269	77.9975278121137	19.6538936959209	1.17428924598269	19	1262	318	19
di	2.77681360638667	86.5498090940646	10.621312044429	0.0520652551197501	160	4987	612	3
dl	0	100	0	0	0	9	0	0
do	4.19189566837448	85.9571495109455	9.82766651141127	0.0232883092687471	180	3691	422	1
dr	0	88.8888888888889	11.1111111111111	0	0	64	8	0
du	0.577293136626042	98.6529826812059	0.769724182168056	0	9	1538	12	0
eb	0	100	0	0	0	46	0	0
ec	0	71.9526627218935	28.0473372781065	0	0	608	237	0
ed	1.01010101010101	78.7878787878788	20.2020202020202	0	1	78	20	0
ef	0	97.6470588235294	2.35294117647059	0	0	83	2	0
eg	0	100	0	0	0	208	0	0
eh	1.77304964539007	98.2269503546099	0	0	5	277	0	0
el	2.25225225225225	73.8738738738739	23.8738738738739	0	10	328	106	0
em	1.6260162601626	87.8048780487805	10.5691056910569	0	2	108	13	0
en	8.32025117739403	85.243328100471	6.43642072213501	0	53	543	41	0
ep	0	61.4583333333333	38.5416666666667	0	0	59	37	0
eq	0	82.8947368421053	17.1052631578947	0	0	63	13	0
er	0	99.6835443037975	0	0.316455696202532	0	315	0	1
