CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
VCCVVVCCV	0	100	0	0	0	2	0	0
VCCVVVCV	0	51.28205128	48.71794872	0	0	20	19	0
VCCVVVCVCCV	0	100	0	0	0	1	0	0
VCCVVVCVCV	0	100	0	0	0	1	0	0
VCVCCCVCCV	0	16.66666667	83.33333333	0	0	1	5	0
VCVCCCVCV	0	34.61538462	65.38461538	0	0	18	34	0
VCVCCCVV	0	100	0	0	0	1	0	0
VCVCCV	0	100	0	0	0	2	0	0
VCVCCVCCV	0	91.22807018	8.771929825	0	0	104	10	0
VCVCCVCV	0	42.41486068	57.58513932	0	0	137	186	0
VCVCCVCVV	0	100	0	0	0	13	0	0
VCVCCVV	0	100	0	0	0	75	0	0
VCVCCVVCV	0	100	0	0	0	36	0	0
VCVCV	0	100	0	0	0	3	0	0
VCVCVCCV	0	99.08536585	0.914634146	0	0	325	3	0
VCVCVCCVCV	0	100	0	0	0	4	0	0
VCVCVCV	0	65.69525396	32.47293922	1.831806828	0	789	390	22
VCVCVCVCCV	0	100	0	0	0	7	0	0
VCVCVCVV	0	100	0	0	0	158	0	0
VCVCVV	0	100	0	0	0	22	0	0
VCVCVVCCV	0	100	0	0	0	9	0	0
VCVCVVCV	0	97.24409449	2.755905512	0	0	247	7	0
VCVCVVV	0	100	0	0	0	14	0	0
VCVVCCV	0	100	0	0	0	6	0	0
VCVVCCVCCV	0	100	0	0	0	14	0	0
VCVVCCVCV	0	100	0	0	0	85	0	0
VCVVCV	0	32	68	0	0	32	68	0
VCVVCVCCV	0	100	0	0	0	8	0	0
VCVVCVCCVV	0	100	0	0	0	51	0	0
VCVVCVCV	0	61.53846154	38.46153846	0	0	32	20	0
VVCCCVCVVCV	0	100	0	0	0	7	0	0
VVCCVCV	0	100	0	0	0	1	0	0
VVCVCCCVCV	0	100	0	0	0	11	0	0
VVCVCCVCCV	0	50	50	0	0	1	1	0
VVCVCCVCV	0	54.76190476	45.23809524	0	0	23	19	0
VVCVCVCCCV	0	100	0	0	0	1	0	0
VVCVCVCCV	0	100	0	0	0	5	0	0
VVCVCVCV	0	100	0	0	0	3	0	0
VVCVCVV	0	100	0	0	0	32	0	0
VVCVCVVCV	0	100	0	0	0	2	0	0
VVCVV	0	0	100	0	0	0	72	0
VVVCVCCV	0	100	0	0	0	58	0	0
VVVCVCV	0	76.62337662	23.37662338	0	0	59	18	0
