2lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
aa	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ab	NA	NA	24	56	20	3.92156862745098	80.3921568627451	11.7647058823529	3.92156862745098	2.77777777777778	61.1111111111111	36.1111111111111	NA	NA	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	6	14	5	2	41	6	2	1	22	13	NA	NA	2	4	NA	NA	NA	NA
ac	NA	100	12.1621621621622	82.4324324324324	5.40540540540541	7.19424460431655	66.9064748201439	25.8992805755396	NA	5.47945205479452	60.2739726027397	28.7671232876712	5.47945205479452	NA	53.3333333333333	46.6666666666667	NA	NA	NA	NA	NA	6	9	61	4	10	93	36	NA	4	44	21	4	NA	8	7	NA	NA	NA	NA
ad	NA	NA	13.0434782608696	86.9565217391304	NA	5.88235294117647	80.3921568627451	13.7254901960784	NA	NA	72	24	4	NA	50	50	NA	NA	NA	NA	NA	NA	3	20	NA	3	41	7	NA	NA	18	6	1	NA	2	2	NA	NA	NA	NA
ae	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
af	33.3333333333333	66.6666666666667	23.5294117647059	76.4705882352941	NA	2.53164556962025	92.4050632911392	5.06329113924051	NA	NA	51.7241379310345	48.2758620689655	NA	NA	NA	66.6666666666667	33.3333333333333	NA	100	NA	1	2	8	26	NA	2	73	4	NA	NA	15	14	NA	NA	NA	2	1	NA	1	NA
ag	NA	100	6.89655172413793	82.7586206896552	10.3448275862069	8.16326530612245	67.3469387755102	22.4489795918367	2.04081632653061	7.14285714285714	57.1428571428571	35.7142857142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	24	3	4	33	11	1	1	8	5	NA	NA	NA	NA	NA	NA	NA	NA
ah	NA	100	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ai	NA	100	20	80	NA	8.33333333333333	75	16.6666666666667	NA	NA	47.0588235294118	52.9411764705882	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	4	NA	2	18	4	NA	NA	8	9	NA	NA	NA	NA	NA	NA	NA	NA
al	10	90	7.46268656716418	86.5671641791045	5.97014925373134	2.63157894736842	77.6315789473684	19.7368421052632	NA	2.85714285714286	77.1428571428572	20	NA	NA	25	75	NA	NA	NA	NA	2	18	5	58	4	2	59	15	NA	1	27	7	NA	NA	1	3	NA	NA	NA	NA
