CV-ending	X_%PULT_Ty	B_%ULT_Ty	B_%PULT_Ty	B_%APULT_Ty	C_%ULT_Ty	C_%PULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%ULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%ULT_Ty	N_%PULT_Ty	P_%ULT_Ty	P_%PULT_Ty	R_%ULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	X_nPULT_Ty	B_nULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nULT_Ty	C_nPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nULT_Ty	N_nPULT_Ty	P_nULT_Ty	P_nPULT_Ty	R_nULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty
CCC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA
CCV	NA	NA	100	NA	NA	100	NA	94.1514861	5.848513902	NA	100	NA	NA	100	NA	100	NA	NA	NA	98.26723142	1.732768579	NA	NA	92.21658206	7.75924583	0.024172105	NA	NA	168	NA	NA	14	NA	982	61	NA	23	NA	NA	38	NA	24	NA	NA	NA	2552	45	NA	NA	3815	321	1
CVC	NA	57.14285714	42.85714286	NA	100	NA	60	40	NA	NA	100	NA	66.66666667	33.33333333	NA	100	NA	NA	51.06382979	44.68085106	4.255319149	NA	73.19587629	26.80412371	NA	NA	NA	4	3	NA	2	NA	6	4	NA	NA	5	NA	2	1	NA	1	NA	NA	24	21	2	NA	71	26	NA	NA
CVV	NA	NA	100	NA	NA	100	NA	81.57894737	18.42105263	NA	100	NA	NA	100	NA	100	NA	NA	NA	97.42268041	2.577319588	NA	1.612903226	97.69585253	0.460829493	0.230414747	NA	NA	16	NA	NA	5	NA	124	28	NA	8	NA	NA	14	NA	1	NA	NA	NA	567	15	NA	7	424	2	1
VCC	NA	NA	NA	NA	NA	NA	25	75	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	1	NA	NA	NA	NA
VCV	100	NA	95.52238806	4.47761194	NA	100	NA	67.66753699	32.33246301	NA	59.25925926	40.74074074	NA	100	NA	100	NA	100	NA	82.21889055	17.78110945	NA	NA	61.96053469	36.4735837	1.565881604	49	NA	64	3	NA	16	NA	1555	743	NA	16	11	NA	24	NA	6	NA	2	NA	2742	593	NA	NA	4867	2865	123
VVC	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	50	50	NA	NA	86.66666667	13.33333333	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	13	2	NA	NA
VVV	NA	NA	NA	NA	NA	NA	NA	75	25	NA	100	NA	NA	100	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	4	NA	9	NA	NA	1	NA	NA	NA	NA	NA	57	NA	NA	NA	23	NA	NA
