CV-ending	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
CCC	0	100	0	0	0	195	0	0
CCV	0	98.61749711	1.381460282	0.001042612	0	94587	1325	1
CVC	36.24390244	61.51219512	2.243902439	0	743	1261	46	0
CVV	0.034163377	98.88779229	1.074248406	0.003795931	9	26051	283	1
VCC	0.191570881	98.46743295	0	1.340996169	1	514	0	7
VCV	0	80.44398259	19.37002063	0.185996777	0	106828	25723	247
VVC	37.14285714	62.85714286	0	0	104	176	0	0
VVV	0	99.23566879	0.76433121	0	0	2337	18	0
