CV-ending	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
CCC	NA	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCV	NA	100	NA	94.20103093	5.798969072	NA	89.69543147	10.25380711	0.050761421	NA	93.30708661	6.692913386	NA	NA	91.30434783	8.695652174	NA	50	50	100	NA	1782	NA	2924	180	NA	1767	202	1	NA	474	34	NA	NA	42	4	NA	2	2	1
CVC	67.96875	32.03125	50	44.73684211	5.263157895	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	41	19	17	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CVV	NA	100	0.243309002	95.37712895	4.379562044	1.02739726	93.83561644	5.136986301	NA	3.191489362	89.36170213	7.446808511	NA	NA	92.85714286	NA	7.142857143	NA	NA	NA	NA	316	1	392	18	3	274	15	NA	3	84	7	NA	NA	13	NA	1	NA	NA	NA
VCC	4.761904762	95.23809524	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	20	NA	6	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VCV	NA	100	NA	73.95124094	26.04875906	NA	65.09949278	33.65197035	1.248536871	NA	46.49545211	50.56179775	2.942750134	NA	25.63176895	72.92418773	1.444043321	NA	100	100	NA	976	NA	3367	1186	NA	3337	1725	64	NA	869	945	55	NA	71	202	4	NA	21	1
VVC	64.51612903	35.48387097	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VVV	NA	100	NA	97.22222222	2.777777778	NA	88	12	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	35	1	NA	22	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
