CV-ending	%ULT_Ty	%PULT_Ty	%APULT_Ty	%PAPULT_Ty	nULT_Ty	nPULT_Ty	nAPULT_Ty	nPAPULT_Ty
CCC	NA	100	NA	NA	NA	11	NA	NA
CCV	NA	94.26673895	5.719707238	0.013553809	NA	6955	422	1
CVC	63.69047619	35.11904762	1.19047619	NA	107	59	2	NA
CVV	0.623330365	95.72573464	3.561887801	0.089047195	7	1075	40	1
VCC	3.571428571	92.85714286	NA	3.571428571	1	26	NA	1
VCV	NA	67.16942795	31.86933417	0.961237887	NA	8595	4078	123
VVC	61.53846154	38.46153846	NA	NA	24	15	NA	NA
VVV	NA	96	4	NA	NA	96	4	NA
