4lett	S2_%ULT_Ty	S2_%PULT_Ty	S3_%ULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%ULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%ULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%ULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%ULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S7_%PAPULT_Ty	S8_%ULT_Ty	S8_%PULT_Ty	S8_%APULT_Ty	S9_%PULT_Ty	S10_%PULT_Ty	S10_%APULT_Ty	S11_%PULT_Ty	S2_nULT_Ty	S2_nPULT_Ty	S3_nULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S7_nPAPULT_Ty	S8_nULT_Ty	S8_nPULT_Ty	S8_nAPULT_Ty	S9_nPULT_Ty	S10_nPULT_Ty	S10_nAPULT_Ty	S11_nPULT_Ty
a'so	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abad	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aban	NA	NA	66.66666667	NA	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abas	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abat	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abba	50	50	11.11111111	88.88888889	NA	7.142857143	76.78571429	16.07142857	NA	2.702702703	72.97297297	24.32432432	NA	NA	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2	16	NA	4	43	9	NA	1	27	9	NA	NA	2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbe	100	NA	NA	NA	NA	NA	100	NA	NA	NA	66.66666667	16.66666667	16.66666667	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	8	NA	NA	NA	4	1	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbi	NA	100	20	80	NA	8.333333333	83.33333333	8.333333333	NA	NA	80	20	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	4	NA	1	10	1	NA	NA	8	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbo	NA	NA	27.27272727	72.72727273	NA	NA	88	12	NA	NA	64.28571429	35.71428571	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	8	NA	NA	22	3	NA	NA	9	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbr	NA	NA	12.5	87.5	NA	NA	97.2972973	2.702702703	NA	NA	60	40	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	NA	NA	36	1	NA	NA	6	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abbu	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abdi	NA	NA	50	NA	50	NA	50	50	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abdu	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abeb	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abed	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abel	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aber	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abet	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abid	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abie	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abil	NA	NA	NA	NA	100	33.33333333	66.66666667	NA	NA	NA	75	12.5	12.5	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	NA	NA	NA	6	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abim	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
abio	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
