4lett	%ULT_Tk	%PULT_Tk	%APULT_Tk	%PAPULT_Tk	nULT_Tk	nPULT_Tk	nAPULT_Tk	nPAPULT_Tk
a'so	0	0	100	0	0	0	1	0
abad	0	100	0	0	0	1	0	0
aban	33.33333333	0	66.66666667	0	2	0	4	0
abas	0	100	0	0	0	1	0	0
abat	0	100	0	0	0	24	0	0
abba	3.513174404	91.09159348	5.39523212	0	56	1452	86	0
abbe	0	90	6.666666667	3.333333333	0	27	2	1
abbi	1.005025126	96.98492462	2.010050251	0	2	193	4	0
abbo	1.683501684	89.56228956	8.754208754	0	5	266	26	0
abbr	5.128205128	89.37728938	5.494505495	0	14	244	15	0
abbu	0	100	0	0	0	14	0	0
abdi	11.11111111	55.55555556	33.33333333	0	1	5	3	0
abdu	100	0	0	0	8	0	0	0
abeb	0	100	0	0	0	6	0	0
abel	0	100	0	0	0	11	0	0
aber	0	100	0	0	0	4	0	0
abet	0	100	0	0	0	40	0	0
abie	0	100	0	0	0	9	0	0
abil	47.4025974	24.02597403	27.27272727	1.298701299	73	37	42	2
abim	100	0	0	0	6	0	0	0
abio	0	100	0	0	0	1	0	0
abis	0	100	0	0	0	37	0	0
abit	0.729927007	54.98783455	41.30170316	2.98053528	12	904	679	49
abiu	0	100	0	0	0	6	0	0
ablu	0	100	0	0	0	4	0	0
abne	0	100	0	0	0	6	0	0
abno	0	100	0	0	0	9	0	0
abol	1.709401709	96.58119658	1.709401709	0	2	113	2	0
abom	0	0	100	0	0	0	8	0
abor	0	93.7007874	6.299212598	0	0	119	8	0
abra	0	94.44444444	5.555555556	0	0	17	1	0
abri	100	0	0	0	6	0	0	0
abro	0	100	0	0	0	18	0	0
abru	0	100	0	0	0	37	0	0
abse	0	100	0	0	0	1	0	0
absi	0	33.33333333	66.66666667	0	0	2	4	0
abul	0	100	0	0	0	3	0	0
abus	0	98.91304348	1.086956522	0	0	182	2	0
acac	0	100	0	0	0	4	0	0
acad	0	100	0	0	0	6	0	0
acan	0	100	0	0	0	1	0	0
acap	0	100	0	0	0	6	0	0
acar	0	0	100	0	0	0	1	0
acca	1.62708883	93.66754617	4.705364996	0	37	2130	107	0
acce	3.203971119	85.7400722	10.78519856	0.270758123	71	1900	239	6
acch	2.564102564	94.87179487	2.564102564	0	1	37	1	0
acci	2.092050209	95.39748954	2.510460251	0	5	228	6	0
accl	0	93.75	6.25	0	0	30	2	0
acco	2.07117853	89.29404901	8.022170362	0.6126021	71	3061	275	21
accr	0	72.82608696	27.17391304	0	0	67	25	0
accu	0.509461426	92.86754003	6.331877729	0.291120815	7	1276	87	4
acef	0	0	100	0	0	0	2	0
acer	0	50	50	0	0	16	16	0
acet	0	97.05882353	2.941176471	0	0	33	1	0
ache	0	100	0	0	0	17	0	0
achi	1.19047619	98.80952381	0	0	1	83	0	0
acic	0	100	0	0	0	1	0	0
acid	6.818181818	3.409090909	89.77272727	0	6	3	79	0
acie	0	100	0	0	0	1	0	0
acil	0	100	0	0	0	5	0	0
acin	0	0	100	0	0	0	2	0
acip	100	0	0	0	2	0	0	0
acir	0	100	0	0	0	11	0	0
acit	0	100	0	0	0	1	0	0
acli	0	100	0	0	0	1	0	0
acor	0	66.66666667	33.33333333	0	0	2	1	0
acos	0	100	0	0	0	5	0	0
acot	100	0	0	0	3	0	0	0
acqu	0.910746812	96.12932605	2.95992714	0	20	2111	65	0
acre	0	0	100	0	0	0	2	0
acri	0	13.33333333	86.66666667	0	0	2	13	0
acro	0	30	70	0	0	12	28	0
actu	0	100	0	0	0	1	0	0
acui	0	88.88888889	11.11111111	0	0	8	1	0
acul	0	0	100	0	0	0	1	0
acum	0	100	0	0	0	14	0	0
acus	0	0	100	0	0	0	37	0
acut	0	98.91304348	1.086956522	0	0	91	1	0
acuz	0	100	0	0	0	1	0	0
adag	5.797101449	81.15942029	13.04347826	0	4	56	9	0
adal	0	100	0	0	0	3	0	0
adam	0	93.75	6.25	0	0	30	2	0
adan	0	100	0	0	0	2	0	0
adat	1.044386423	93.21148825	5.744125326	0	4	357	22	0
adde	0.729927007	87.95620438	10.94890511	0.364963504	2	241	30	1
addi	0.772200772	98.84169884	0.386100386	0	6	768	3	0
addo	1.674641148	96.41148325	1.913875598	0	7	403	8	0
addu	0	100	0	0	0	16	0	0
adeg	0.362318841	97.46376812	2.173913043	0	1	269	6	0
adel	0	84.31372549	15.68627451	0	0	43	8	0
adem	3.703703704	62.96296296	33.33333333	0	1	17	9	0
adep	0	100	0	0	0	13	0	0
ader	1.19760479	89.22155689	9.580838323	0	2	149	16	0
ades	0	100	0	0	0	1408	0	0
adeu	0	100	0	0	0	1	0	0
adia	0	100	0	0	0	12	0	0
adib	0	100	0	0	0	20	0	0
adid	0	0	100	0	0	0	6	0
adig	0	0	100	0	0	0	18	0
adil	100	0	0	0	1	0	0	0
adin	0	100	0	0	0	1	0	0
adio	100	0	0	0	1	0	0	0
adip	0	90.90909091	9.090909091	0	0	10	1	0
adir	0	100	0	0	0	10	0	0
adit	0	0	100	0	0	0	6	0
adiv	0	100	0	0	0	5	0	0
adoc	0	100	0	0	0	3	0	0
adol	0	100	0	0	0	182	0	0
adom	0	88.88888889	11.11111111	0	0	8	1	0
adon	33.33333333	66.66666667	0	0	2	4	0	0
adop	9.090909091	54.54545455	27.27272727	9.090909091	5	30	15	5
ador	0	84.21052632	15.78947368	0	0	128	24	0
adot	2.29226361	92.83667622	4.871060172	0	8	324	17	0
