ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S7_%PULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S7_nPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
rce	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rci	100	82.258064516129	17.741935483871	80.6451612903226	19.3548387096774	NA	83.3333333333333	16.6666666666667	NA	NA	NA	NA	NA	7	51	11	50	12	NA	10	2	NA	NA	NA	NA	NA
rco	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rda	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rde	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rdi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	9	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rdo	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	13	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rga	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rge	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rgo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rla	100	79.6875	20.3125	81.3333333333333	18.6666666666667	NA	100	NA	NA	NA	NA	NA	NA	6	51	13	61	14	NA	12	NA	NA	NA	NA	NA	NA
rle	100	70.5882352941177	29.4117647058824	76.3157894736842	23.6842105263158	NA	87.5	12.5	NA	NA	NA	NA	NA	5	24	10	29	9	NA	7	1	NA	NA	NA	NA	NA
rli	100	76.1904761904762	23.8095238095238	70	30	NA	90.9090909090909	9.09090909090909	NA	NA	NA	NA	NA	6	32	10	35	15	NA	10	1	NA	NA	NA	NA	NA
rlo	100	78.8235294117647	21.1764705882353	84.0425531914894	15.9574468085106	NA	90.9090909090909	9.09090909090909	100	NA	NA	NA	NA	7	67	18	79	15	NA	20	2	1	NA	NA	NA	NA
rma	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rme	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rmi	100	85.7142857142857	14.2857142857143	83.5616438356164	16.4383561643836	NA	95	5	NA	NA	NA	NA	NA	11	66	11	61	12	NA	19	1	NA	NA	NA	NA	NA
rmo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rna	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rne	100	87.5	12.5	84.2105263157895	15.7894736842105	NA	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	5	28	4	16	3	NA	2	1	NA	NA	NA	NA	NA
rni	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rno	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	17	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rpo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rra	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	6	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rre	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	24	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
rri	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	7	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rro	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsa	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	13	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
rse	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rsi	100	81.8897637795276	18.1102362204724	75.7575757575758	24.2424242424242	NA	88.4615384615385	11.5384615384615	NA	NA	NA	NA	NA	14	104	23	100	32	NA	23	3	NA	NA	NA	NA	NA
rso	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	13	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
rta	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	17	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rte	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	12	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
rti	100	84.6153846153846	15.3846153846154	80	20	NA	94.1176470588235	5.88235294117647	NA	NA	NA	NA	NA	17	66	12	52	13	NA	16	1	NA	NA	NA	NA	NA
rto	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	13	19	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA
rva	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rve	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
rvi	100	76.3157894736842	23.6842105263158	75.5102040816327	24.4897959183673	NA	87.5	12.5	NA	NA	NA	NA	NA	8	29	9	37	12	NA	7	1	NA	NA	NA	NA	NA
rvo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rza	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rze	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rzo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sca	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	8	11	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA
sce	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	8	24	NA	30	NA	NA	9	NA	NA	NA	NA	NA	NA
sci	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	7	11	NA	6	NA	NA	4	NA	NA	NA	NA	NA	NA
sco	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	8	12	NA	8	NA	NA	3	NA	NA	NA	NA	NA	NA
sfa	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sma	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
smi	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
smo	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
spa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ssa	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	21	21	NA	7	NA	NA	3	NA	NA	NA	NA	NA	NA
sse	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	26	99	NA	68	NA	NA	11	NA	NA	NA	NA	NA	NA
ssi	100	100	NA	100	NA	NA	50	50	NA	NA	NA	NA	NA	23	55	NA	15	NA	NA	1	1	NA	NA	NA	NA	NA
sso	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	35	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
sta	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	27	39	NA	11	NA	NA	5	NA	1	NA	NA	NA	NA
ste	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	19	42	NA	12	NA	NA	6	NA	NA	NA	NA	NA	NA
sti	100	100	NA	100	NA	NA	100	NA	100	NA	NA	NA	NA	22	40	NA	21	NA	NA	11	NA	5	NA	NA	NA	NA
sto	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	29	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
tmi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tmo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tra	100	83.3333333333333	16.6666666666667	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	15	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
tre	100	90.9090909090909	9.09090909090909	100	NA	NA	100	NA	NA	NA	NA	NA	NA	13	10	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA
tri	100	84.6153846153846	15.3846153846154	NA	100	NA	100	NA	NA	NA	NA	NA	NA	16	11	2	NA	5	NA	1	NA	NA	NA	NA	NA	NA
tro	100	87.5	12.5	33.3333333333333	66.6666666666667	NA	100	NA	NA	NA	NA	NA	NA	19	14	2	3	6	NA	1	NA	NA	NA	NA	NA	NA
tta	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	38	93	NA	43	NA	NA	2	NA	NA	NA	NA	NA	NA
tte	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	31	62	NA	32	NA	NA	1	NA	NA	NA	NA	NA	NA
tti	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	34	100	NA	43	NA	NA	2	NA	NA	NA	NA	NA	NA
tto	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	39	127	NA	52	NA	NA	4	NA	NA	NA	NA	NA	NA
vra	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vre	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vve	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
vvi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
zza	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	17	22	NA	13	NA	NA	1	NA	NA	NA	NA	NA	NA
zze	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	15	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
zzi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	9	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
zzo	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	9	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
