ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
oci	100	66.6666666666667	33.3333333333333	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	4	4	2	NA	20	NA	NA	31	NA	NA	4	NA	NA	NA
oco	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
oda	100	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ode	100	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
odi	100	25	75	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
odo	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ofe	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ofi	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ofo	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
oga	100	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ogi	NA	NA	NA	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
ogo	100	NA	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
ohi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ola	100	22.4489795918367	77.5510204081633	2.27272727272727	97.7272727272727	NA	NA	100	NA	NA	100	NA	NA	NA	6	11	38	1	43	NA	NA	12	NA	NA	2	NA	NA	NA
ole	100	20.5882352941176	79.4117647058823	6.89655172413793	93.1034482758621	NA	6.25	93.75	NA	NA	100	NA	NA	NA	6	7	27	2	27	NA	1	15	NA	NA	1	NA	NA	NA
oli	100	22.5806451612903	77.4193548387097	6	94	NA	3.84615384615385	96.1538461538462	NA	NA	100	NA	NA	NA	4	7	24	3	47	NA	1	25	NA	NA	2	NA	NA	NA
olo	100	24.3243243243243	75.6756756756757	5.08474576271187	94.9152542372881	NA	NA	100	NA	NA	100	NA	NA	NA	5	9	28	3	56	NA	NA	32	NA	NA	3	NA	NA	NA
oma	100	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ome	100	75	25	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
omi	100	37.5	62.5	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	2	3	5	NA	14	NA	NA	6	NA	NA	2	NA	NA	NA
omo	100	NA	100	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ona	100	100	NA	90	10	NA	100	NA	NA	NA	NA	NA	NA	NA	6	17	NA	9	1	NA	2	NA	NA	NA	NA	NA	NA	NA
one	100	97.7272727272727	2.27272727272727	93.1818181818182	6.81818181818182	NA	86.1538461538462	13.8461538461538	NA	90	10	NA	NA	NA	5	86	2	123	9	NA	56	9	NA	18	2	NA	NA	NA
oni	100	98.5915492957747	1.40845070422535	97.6744186046512	2.32558139534884	NA	100	NA	NA	100	NA	NA	NA	NA	8	70	1	84	2	NA	36	NA	NA	9	NA	NA	NA	NA
ono	100	3.48837209302326	96.5116279069768	NA	100	NA	NA	99.3548387096774	0.645161290322581	NA	100	NA	100	NA	8	3	83	NA	254	NA	NA	154	1	NA	32	NA	2	NA
opa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ope	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
opi	100	NA	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
opo	100	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ora	100	75	25	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	15	5	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ore	100	91.6666666666667	8.33333333333333	100	NA	NA	100	NA	NA	100	NA	NA	NA	100	5	44	4	34	NA	NA	22	NA	NA	1	NA	NA	NA	1
ori	100	100	NA	92.3076923076923	7.69230769230769	NA	100	NA	NA	100	NA	NA	NA	NA	8	42	NA	36	3	NA	21	NA	NA	1	NA	NA	NA	NA
oro	100	100	NA	25	75	NA	100	NA	NA	NA	NA	NA	NA	NA	7	8	NA	1	3	NA	1	NA	NA	NA	NA	NA	NA	NA
osa	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	28	NA	28	NA	NA	5	NA	NA	NA	NA	NA	NA	NA
ose	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	4	29	NA	21	NA	NA	4	NA	NA	NA	NA	NA	NA	NA
osi	100	92.3076923076923	7.69230769230769	34.5679012345679	65.4320987654321	NA	9.52380952380952	90.4761904761905	NA	NA	100	NA	NA	NA	5	24	2	28	53	NA	6	57	NA	NA	15	NA	NA	NA
oso	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	3	27	NA	36	NA	NA	7	NA	NA	NA	NA	NA	NA	NA
ota	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ote	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oti	100	75	25	33.3333333333333	66.6666666666667	NA	NA	100	NA	NA	NA	NA	NA	NA	8	3	1	2	4	NA	NA	7	NA	NA	NA	NA	NA	NA
oto	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ova	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ove	100	100	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	8	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ovi	100	66.6666666666667	33.3333333333333	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	6	2	1	NA	2	NA	NA	3	NA	NA	1	NA	NA	NA
ovo	100	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ozi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uba	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ube	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ubi	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ubo	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uca	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uce	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uci	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uco	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uda	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ude	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
udi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
udo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufa	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ufo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uga	100	50	50	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ugi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ugo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ula	100	NA	100	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ule	100	33.3333333333333	66.6666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uli	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ulo	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uma	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ume	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
umi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	6	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
umo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
una	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	6	9	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
une	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uni	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uno	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	7	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
upa	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
upi	100	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
upo	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ura	100	96.4285714285714	3.57142857142857	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	6	27	1	12	NA	NA	9	NA	NA	1	NA	NA	NA	NA
ure	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	4	23	NA	7	NA	NA	4	NA	NA	1	NA	NA	NA	NA
uri	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	8	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uro	100	90	10	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	9	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
usa	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
use	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
usi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uso	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uta	100	96.4285714285714	3.57142857142857	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	27	1	15	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
ute	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	2	21	NA	13	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
uti	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	25	NA	17	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
uto	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	5	38	NA	28	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
uva	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
uvi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
