ending	S2_%PULT_Ty	S3_%PULT_Ty	S3_%APULT_Ty	S4_%PULT_Ty	S4_%APULT_Ty	S4_%PAPULT_Ty	S5_%PULT_Ty	S5_%APULT_Ty	S5_%PAPULT_Ty	S6_%PULT_Ty	S6_%APULT_Ty	S6_%PAPULT_Ty	S7_%APULT_Ty	S8_%PULT_Ty	S2_nPULT_Ty	S3_nPULT_Ty	S3_nAPULT_Ty	S4_nPULT_Ty	S4_nAPULT_Ty	S4_nPAPULT_Ty	S5_nPULT_Ty	S5_nAPULT_Ty	S5_nPAPULT_Ty	S6_nPULT_Ty	S6_nAPULT_Ty	S6_nPAPULT_Ty	S7_nAPULT_Ty	S8_nPULT_Ty
azi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eca	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ece	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eci	100	33.3333333333333	66.6666666666667	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	3	1	2	NA	7	NA	NA	4	NA	NA	NA	NA	NA	NA
eco	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eda	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ede	100	100	NA	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	11	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
edi	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
edo	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ega	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ege	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
egi	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ego	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ehi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ela	100	25	75	NA	82.3529411764706	17.6470588235294	NA	53.8461538461538	46.1538461538462	NA	100	NA	NA	NA	4	3	9	NA	28	6	NA	7	6	NA	2	NA	NA	NA
ele	100	75	25	20	40	40	NA	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	5	3	1	1	2	2	NA	2	1	NA	NA	NA	NA	NA
eli	100	42.8571428571429	57.1428571428571	10	80	10	NA	90	10	NA	80	20	NA	NA	5	3	4	1	8	1	NA	9	1	NA	4	1	NA	NA
elo	100	NA	100	3.03030303030303	78.7878787878788	18.1818181818182	NA	71.4285714285714	28.5714285714286	NA	75	25	NA	NA	7	NA	14	1	26	6	NA	20	8	NA	3	1	NA	NA
ema	100	75	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eme	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
emi	100	50	50	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	7	4	4	NA	23	NA	NA	12	NA	NA	1	NA	NA	NA
emo	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	5	17	NA	76	NA	NA	63	NA	NA	7	NA	NA	NA	NA
ena	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	8	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ene	100	62.5	37.5	6.89655172413793	79.3103448275862	13.7931034482759	5.26315789473684	52.6315789473684	42.1052631578947	NA	75	25	NA	NA	11	15	9	2	23	4	1	10	8	NA	3	1	NA	NA
eni	100	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
eno	100	100	NA	NA	100	NA	100	NA	NA	NA	NA	NA	NA	NA	5	6	NA	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA
epe	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
epi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
era	100	53.6585365853659	46.3414634146341	47.0588235294118	52.9411764705882	NA	NA	100	NA	NA	NA	NA	NA	NA	11	22	19	8	9	NA	NA	1	NA	NA	NA	NA	NA	NA
ere	100	36.8852459016393	63.1147540983607	20.6896551724138	79.3103448275862	NA	30.7692307692308	69.2307692307692	NA	NA	NA	NA	NA	NA	9	45	77	24	92	NA	4	9	NA	NA	NA	NA	NA	NA
eri	100	58.695652173913	41.304347826087	65	35	NA	33.3333333333333	66.6666666666667	NA	NA	100	NA	NA	NA	7	27	19	13	7	NA	1	2	NA	NA	1	NA	NA	NA
ero	100	18.1818181818182	81.8181818181818	5.55555555555556	94.4444444444444	NA	NA	100	NA	NA	100	NA	NA	NA	6	14	63	6	102	NA	NA	44	NA	NA	11	NA	NA	NA
esa	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	14	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ese	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	8	24	NA	8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA
esi	100	89.4736842105263	10.5263157894737	62.5	37.5	NA	NA	100	NA	NA	100	NA	NA	NA	9	17	2	5	3	NA	NA	3	NA	NA	2	NA	NA	NA
eso	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	15	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eta	100	100	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ete	100	100	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	7	55	NA	64	NA	NA	33	NA	NA	3	NA	NA	NA	NA
eti	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
eto	100	100	NA	66.6666666666667	33.3333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	10	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
eva	100	100	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	1	77	NA	78	NA	NA	3	NA	NA	NA	NA	NA	NA	NA
eve	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evi	100	100	NA	10.5263157894737	89.4736842105263	NA	NA	100	NA	NA	100	NA	NA	NA	6	17	NA	2	17	NA	NA	22	NA	NA	5	NA	NA	NA
evo	100	100	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	29	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibi	100	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ibo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
