ending	B_%PULT_Tk	C_%PULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%ULT_Tk	NU_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	X_%PULT_Tk	B_nPULT_Tk	C_nPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nULT_Tk	NU_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	X_nPULT_Tk
ccu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
cha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA
che	100	100	0	90.4761904761905	9.52380952380952	0	55.3882725832013	44.6117274167987	NA	87.7551020408163	12.2448979591837	NA	NA	NA	NA	0	43.7148217636023	56.2851782363977	100	0	NA	13721	20	0	57	6	0	3495	2815	NA	43	6	NA	NA	NA	NA	0	1165	1500	3	0	NA
chi	100	NA	0	100	0	0	98.696360673547	1.30363932645301	NA	100	0	NA	NA	NA	NA	0	97.821034282394	2.17896571760604	62.5	37.5	NA	2	NA	0	638	0	0	1817	24	NA	177	0	NA	NA	NA	NA	0	3367	75	105	63	NA
cho	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA	NA	NA
cke	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	NA	NA	NA
cla	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	NA
cle	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	23	0	NA	NA	NA
clo	NA	NA	0	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	108	0	1	0	NA
cme	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA
cne	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA
cno	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cra	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	2	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	0	8	0	7	0	NA
