ending	B_%PULT_Tk	C_%PULT_Tk	E_%ULT_Tk	E_%PULT_Tk	E_%APULT_Tk	G_%ULT_Tk	G_%PULT_Tk	G_%APULT_Tk	I_%PULT_Tk	N_%PULT_Tk	N_%APULT_Tk	NU_%ULT_Tk	NU_%PULT_Tk	P_%PULT_Tk	R_%PULT_Tk	S_%ULT_Tk	S_%PULT_Tk	S_%APULT_Tk	V_%PULT_Tk	V_%APULT_Tk	X_%PULT_Tk	B_nPULT_Tk	C_nPULT_Tk	E_nULT_Tk	E_nPULT_Tk	E_nAPULT_Tk	G_nULT_Tk	G_nPULT_Tk	G_nAPULT_Tk	I_nPULT_Tk	N_nPULT_Tk	N_nAPULT_Tk	NU_nULT_Tk	NU_nPULT_Tk	P_nPULT_Tk	R_nPULT_Tk	S_nULT_Tk	S_nPULT_Tk	S_nAPULT_Tk	V_nPULT_Tk	V_nAPULT_Tk	X_nPULT_Tk
jno	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kko	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ktu	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kyo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lba	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	104	0	0	6	0	NA	NA	NA	NA	NA	NA	NA	0	144	0	NA	NA	NA
lbe	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	1	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA
lbi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	2	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	6	0	NA	NA	NA
lbo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	60	0	0	6	0	NA	NA	NA	NA	NA	NA	NA	0	22	0	NA	NA	NA
lca	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	5	0	20	0	NA
lce	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	19	0	0	204	0	NA	NA	NA	NA	NA	NA	NA	0	66	0	NA	NA	NA
lci	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	100	NA	NA	0	7	0	0	42	0	NA	NA	NA	NA	NA	NA	NA	0	116	0	NA	NA	1
lco	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	130	0	NA	NA	NA
lda	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	80	0	0	104	0	NA	NA	NA	NA	NA	NA	NA	0	6	0	14	0	NA
lde	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	31	0	0	60	0	NA	NA	NA	NA	NA	NA	NA	0	16	0	NA	NA	NA
ldi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	188	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	0	552	0	5	0	NA
ldo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	269	0	0	195	0	NA	NA	NA	NA	NA	NA	NA	0	200	0	NA	NA	NA
lfa	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	231	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	36	0	1	0	NA
lfi	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	9	0	NA	NA	NA
lfo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA
lga	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	23	0	0	45	0	NA	NA	NA	NA	NA	NA	NA	0	17	0	70	0	NA
lge	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	0	1	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	204	0	NA
lgi	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	0	6	0	4	0	NA
lgo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	10	0	28	0	1
lhi	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
lje	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lka	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA
lke	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA
lla	100	NA	0	100	0	0	100	0	NA	100	0	NA	NA	100	100	0	100	0	100	0	NA	14	NA	0	1198	0	0	2350	0	NA	3318	0	NA	NA	54560	37	0	2574	0	265	0	NA
lle	100	NA	10.9489051094891	89.051094890511	0	0	100	0	NA	100	0	0	100	100	100	0	100	0	100	0	NA	2	NA	30	244	0	0	940	0	NA	782	0	0	385	20651	544	0	2234	0	89	0	NA
lli	NA	NA	0	100	0	0	100	0	NA	100	0	NA	NA	100	NA	0	100	0	100	0	NA	NA	NA	0	1860	0	0	227	0	NA	1385	0	NA	NA	1	NA	0	2560	0	42	0	NA
llo	100	NA	0	100	0	0	100	0	100	100	0	NA	NA	100	100	0	100	0	100	0	NA	2	NA	0	1145	0	0	633	0	2	3309	0	NA	NA	4256	6	0	4779	0	28	0	NA
llu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
lma	NA	NA	0	100	0	0	100	0	100	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	83	0	0	36	0	3	NA	NA	NA	NA	NA	NA	0	144	0	6	0	NA
lme	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	1	0	0	10	0	NA	NA	NA	NA	NA	NA	NA	0	30	0	NA	NA	NA
lmi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	60	0	0	17	0	NA	NA	NA	NA	NA	NA	NA	0	16	0	3	0	NA
lmo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	46	0	0	50	0	NA	NA	NA	NA	NA	NA	NA	0	40	0	NA	NA	NA
lpa	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	384	0	4	0	NA
lpe	100	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	1	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	127	0	NA	NA	NA
lpi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	71	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	398	0	1	0	NA
lpo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	488	0	NA	NA	NA
lsa	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	8	0	0	56	0	NA	NA	NA	NA	NA	NA	NA	0	78	0	27	0	NA
lse	100	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	2	NA	NA	NA	NA	0	9	0	NA	NA	NA	NA	NA	NA	NA	0	21	0	193	0	NA
lsi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	3	0	0	59	0	NA	NA	NA	NA	NA	NA	NA	0	69	0	42	0	NA
lso	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	5	0	0	71	0	NA	NA	NA	NA	NA	NA	NA	0	114	0	72	0	NA
LSO	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lta	100	100	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	NA	343	3	0	97	0	0	819	0	NA	2	0	NA	NA	NA	NA	0	3977	0	867	0	NA
lte	100	NA	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	NA	1	NA	0	1	0	0	693	0	NA	92	0	NA	NA	NA	NA	0	1791	0	252	0	NA
lti	NA	NA	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	100	NA	NA	0	5	0	0	1198	0	NA	452	0	NA	NA	NA	NA	0	407	0	511	0	1
lto	100	NA	0	100	0	0	100	0	100	100	0	NA	NA	NA	NA	0	100	0	100	0	NA	2950	NA	0	16	0	0	1114	0	2	189	0	NA	NA	NA	NA	0	1027	0	2005	0	NA
ltu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lva	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	100	NA	0	100	0	100	0	NA	NA	NA	0	60	0	0	16	0	NA	NA	NA	NA	NA	1	NA	0	36	0	52	0	NA
lve	NA	NA	0	100	0	0	100	0	100	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	1	0	0	6	0	12	NA	NA	NA	NA	NA	NA	0	14	0	54	0	NA
lvi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	0	NA	NA	NA	0	66	0	0	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	NA
lvo	NA	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	100	NA	0	100	0	100	0	NA	NA	9	0	53	0	0	40	0	NA	NA	NA	NA	NA	103	NA	0	8	0	3	0	NA
lya	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lza	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	13	0	115	0	NA
lze	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	33	0	NA	NA	NA
lzi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	8	0	0	8	0	NA	NA	NA	NA	NA	NA	NA	0	51	0	10	0	NA
lzo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	1	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	0	87	0	11	0	NA
mba	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	3	NA	0	96	0	0	8	0	NA	NA	NA	NA	NA	NA	NA	0	424	0	10	0	NA
mbe	NA	NA	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	2	0	0	41	0	NA	48	0	NA	NA	NA	NA	0	405	0	25	0	NA
mbi	NA	NA	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	21	0	0	61	0	NA	213	0	NA	NA	NA	NA	0	197	0	8	0	NA
mbo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	144	0	0	4	0	NA	NA	NA	NA	NA	NA	NA	0	230	0	NA	NA	NA
mbu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mma	100	100	0	100	0	0	100	0	100	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	665	12	0	73	0	0	7	0	3	NA	NA	NA	NA	NA	NA	0	1684	0	7	0	NA
mme	100	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	4	NA	0	86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	252	0	NA	NA	NA
mmi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	2	0	0	4	0	NA	NA	NA	NA	NA	NA	NA	0	399	0	54	0	NA
mmo	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	1	NA	0	8	0	0	12	0	NA	NA	NA	NA	NA	NA	NA	0	29	0	851	0	NA
mno	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mpa	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	13	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	579	0	28	0	NA
mpe	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	98	0	70	0	NA
mpi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	185	0	0	40	0	NA	NA	NA	NA	NA	NA	NA	0	1227	0	5	0	NA
mpo	100	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	8	NA	0	46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4933	0	3	0	NA
nca	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	163	0	0	493	0	NA	NA	NA	NA	NA	NA	NA	0	520	0	269	0	NA
nce	100	100	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	2	2	0	12	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	182	0	143	0	NA
nci	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	1	NA	0	60	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	0	129	0	47	0	NA
nco	100	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	30	NA	0	512	0	0	430	0	NA	NA	NA	NA	NA	NA	NA	0	928	0	7	0	NA
nda	NA	NA	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	100	NA	NA	0	485	0	0	1099	0	NA	34	0	NA	NA	NA	NA	0	2168	0	437	0	3
nde	100	100	0	100	0	0	100	0	NA	100	0	NA	NA	100	NA	0	100	0	100	0	NA	107	14	0	53	0	0	3120	0	NA	5	0	NA	NA	4	NA	0	1075	0	2094	0	NA
ndi	100	100	0	100	0	0	100	0	NA	100	0	NA	NA	NA	NA	0	100	0	100	0	100	32	1331	0	172	0	0	1271	0	NA	3	0	NA	NA	NA	NA	0	663	0	114	0	3
ndo	100	100	0	100	0	0	100	0	NA	100	0	NA	NA	100	NA	0	100	0	100	0	NA	128	5399	0	398	0	0	1046	0	NA	49	0	NA	NA	1568	NA	0	3984	0	11309	0	NA
nfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	22	0	17	0	NA
nfe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA
nfi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	8	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	0	14	0	3	0	NA
nfo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	117	0	NA	NA	NA
nga	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	54	0	0	533	0	NA	NA	NA	NA	NA	NA	NA	0	204	0	530	0	NA
nge	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	100	NA	NA	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49	0	694	0	1
ngi	100	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	17	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	33	0	NA
ngo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	100	NA	0	100	0	100	0	NA	NA	NA	0	105	0	0	1042	0	NA	NA	NA	NA	NA	283	NA	0	152	0	262	0	NA
ngu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
nho	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nja	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
njo	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nju	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nka	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	0	27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
nke	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nki	NA	NA	0	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nko	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nna	NA	NA	0	100	0	0	100	0	100	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	855	0	0	3	0	3	NA	NA	NA	NA	NA	NA	0	2048	0	64	0	NA
nne	NA	100	2.77777777777778	97.2222222222222	0	0	100	0	NA	NA	NA	NA	NA	100	NA	0	100	0	100	0	NA	NA	1	1	35	0	0	314	0	NA	NA	NA	NA	NA	157	NA	0	1532	0	716	0	NA
nni	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	1071	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	0	7554	0	52	0	NA
nno	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	74	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	0	3317	0	17260	0	NA
nri	NA	NA	100	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nsa	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	54	0	0	153	0	NA	NA	NA	NA	NA	NA	NA	0	53	0	412	0	NA
nse	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	23	0	0	123	0	NA	NA	NA	NA	NA	NA	NA	0	21	0	317	0	NA
nsi	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	20	0	0	83	0	NA	NA	NA	NA	NA	NA	NA	0	209	0	139	0	NA
nso	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	70	0	0	174	0	NA	NA	NA	NA	NA	NA	NA	0	1186	0	348	0	NA
nsu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA
nta	NA	NA	0	100	0	0	100	0	NA	100	0	0	100	100	NA	0	100	0	100	0	NA	NA	NA	0	230	0	0	1176	0	NA	22	0	0	942	2	NA	0	1380	0	2843	0	NA
nte	100	100	0	100	0	0	100	0	100	100	0	NA	NA	100	NA	0	100	0	100	0	NA	16087	55	0	555	0	0	9673	0	1	981	0	NA	NA	1503	NA	0	11401	0	1089	0	NA
nti	100	100	0	100	0	0	100	0	100	100	0	0	100	100	NA	0	100	0	100	0	NA	2866	1	0	445	0	0	5396	0	29	265	0	0	265	24	NA	0	12823	0	978	0	NA
nto	100	100	0	85.5670103092783	14.4329896907216	0	100	0	100	100	0	0	100	100	NA	0	100	0	100	0	NA	6620	77	0	249	42	0	1685	0	22	1696	0	0	1712	4	NA	0	17737	0	2695	0	NA
ntu	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	NA	NA	NA
nya	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nza	100	100	0	100	0	0	100	0	100	100	0	NA	NA	100	NA	0	100	0	100	0	100	353	4	0	366	0	0	38	0	2	4	0	NA	NA	4044	NA	0	13143	0	52	0	1
nze	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	245	0	0	3	0	NA	NA	NA	NA	NA	NA	NA	0	3180	0	NA	NA	NA
nzi	100	100	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	0	100	0	100	0	NA	237	524	0	129	0	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	0	157	0	5	0	NA
nzo	NA	NA	0	100	0	0	100	0	NA	NA	NA	NA	NA	NA	NA	0	100	0	100	0	NA	NA	NA	0	770	0	0	4	0	NA	NA	NA	NA	NA	NA	NA	0	513	0	5	0	NA
pha	NA	NA	0	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	NA	NA	NA
