CV-ending	B_%ULT_Ty	B_%PULT_Ty	B_%APULT_Ty	C_%ULT_Ty	C_%PULT_Ty	C_%APULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%ULT_Ty	I_%PULT_Ty	I_%APULT_Ty	N_%ULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%ULT_Ty	NU_%PULT_Ty	NU_%APULT_Ty	P_%ULT_Ty	P_%PULT_Ty	P_%APULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	S_%PAPULT_Ty	V_%ULT_Ty	V_%PULT_Ty	V_%APULT_Ty	V_%PAPULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	B_nULT_Ty	B_nPULT_Ty	B_nAPULT_Ty	C_nULT_Ty	C_nPULT_Ty	C_nAPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nULT_Ty	I_nPULT_Ty	I_nAPULT_Ty	N_nULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nULT_Ty	NU_nPULT_Ty	NU_nAPULT_Ty	P_nULT_Ty	P_nPULT_Ty	P_nAPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	S_nPAPULT_Ty	V_nULT_Ty	V_nPULT_Ty	V_nAPULT_Ty	V_nPAPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty
CCC	NA	NA	NA	NA	NA	NA	NA	77.27272727	22.72727273	NA	66.66666667	33.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.63636364	36.36363636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	5	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	4	NA	NA	NA	NA	NA	NA	NA	NA
CCV	NA	100	NA	NA	100	NA	0.242450959	99.22856513	0.52898391	0.061551087	87.81288469	12.12556422	NA	100	NA	NA	98.82352941	1.176470588	1.234567901	98.7654321	NA	NA	100	NA	100	0.03058104	97.6146789	2.354740061	NA	NA	92.34736317	7.652636832	NA	NA	100	NA	NA	1296	NA	NA	32	NA	11	4502	24	3	4280	591	NA	38	NA	NA	84	1	1	80	NA	NA	66	NA	4	3	9576	231	NA	NA	11102	920	NA	NA	23	NA
CVC	33.33333333	46.66666667	20	100	NA	NA	61.35135135	29.54954955	9.099099099	31.85840708	56.63716814	11.50442478	50	50	NA	62.5	37.5	NA	71.42857143	28.57142857	NA	NA	100	NA	NA	35.06743738	52.40847784	12.13872832	0.385356455	69.73684211	29.60526316	0.657894737	NA	82.60869565	17.39130435	NA	5	7	3	5	NA	NA	681	328	101	36	64	13	2	2	NA	5	3	NA	5	2	NA	NA	3	NA	NA	182	272	63	2	106	45	1	NA	19	4	NA
CVV	NA	97.36842105	2.631578947	NA	100	NA	0.324464633	97.27449708	2.401038287	0.086580087	80	19.91341991	NA	100	NA	NA	100	NA	NA	100	NA	NA	100	NA	100	0.101902174	96.67119565	3.226902174	NA	NA	97.57045675	2.429543246	NA	NA	100	NA	NA	37	1	NA	14	NA	5	1499	37	1	924	230	NA	19	NA	NA	30	NA	NA	26	NA	NA	11	NA	2	3	2846	95	NA	NA	1004	25	NA	NA	9	NA
VCC	NA	NA	NA	NA	NA	NA	12.32876712	56.16438356	31.50684932	22.22222222	55.55555556	22.22222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.57142857	58.92857143	12.5	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	41	23	4	10	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	33	7	NA	NA	1	NA	NA	NA	NA	NA
VCV	NA	84.02061856	15.97938144	NA	96.875	3.125	0.210273355	84.83027936	14.95944728	0.006563833	72.62225139	27.37118477	NA	80	20	NA	79.12087912	20.87912088	NA	85.45454545	14.54545455	NA	93.75	6.25	100	0.139620486	80.57371327	19.28031986	0.006346386	0.008876659	64.67977453	33.75793351	1.553415294	NA	91.30434783	8.695652174	NA	163	31	NA	31	1	14	5648	996	1	11064	4170	NA	32	8	NA	72	19	NA	94	16	NA	15	1	4	22	12696	3038	1	2	14573	7606	350	NA	42	4
VVC	NA	100	NA	NA	100	NA	49.57264957	44.44444444	5.982905983	60.86956522	39.13043478	NA	50	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.35616438	53.42465753	8.219178082	NA	76.47058824	23.52941176	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	58	52	7	14	9	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	39	6	NA	13	4	NA	NA	NA	NA	NA
VVV	NA	NA	NA	NA	100	NA	NA	100	NA	NA	82.14285714	17.85714286	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	99.5049505	0.495049505	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	38	NA	NA	23	5	NA	4	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	201	1	NA	NA	74	NA	NA	NA	NA	NA
